Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Notre Dame Fighting Irish,,,,,,,,,,,,,,,
WR-X,83,"Thomas, Jayden RS JR",,14,"Gilbert, Micah FR",,0,"Colzie, Deion RS JR",,86,"Whitman, Alex SO",,,,
WR-Z,10,"Mitchell, Kris GR/TR",,5,"Collins, Beaux SR/TR",,11,"Smith, KK RS FR",,17,"Williams, Cam FR",,82,"Scheidler, Leo JR",
WR-F,1,"Greathouse, Jaden SO",,6,"Faison, Jordan SO",,2,"Harrison, Jayden GR/TR",,81,"Polian, Jack SR",,,,
LT,56,"Jagusah, Charles RS FR",,75,"Absher, Sullivan RS FR",,71,"Prescod, Styles FR",,,,,,,
LG,78,"Coogan, Pat RS JR",,50,"Spindler, Rocco RS JR",,73,"Jones, Peter FR",,,,,,,
OC,70,"Craig, Ashton RS SO",,72,"Pendleton, Sam RS FR",,64,"Otting, Joe RS FR",,,,,,,
RG,74,"Schrauth, Billy RS SO",,55,"Terek, Chris RS FR",,77,"Chan, Ty RS SO",,,,,,,
RT,79,"Baker, Tosh GR",,59,"Wagner, Aamil RS SO",,76,"Lambert, Guerby FR",,54,"Knapp, Anthonie FR",,,,
TE,88,"Evans, Mitchell SR",,87,"Flanagan, Cooper SO",,9,"Raridon, Eli JR",,84,"Bauman, Kevin GR",,38,"Sherwood, Davis SR",
QB,13,"Leonard, Riley SR/TR",,18,"Angeli, Steve RS SO",,8,"Minchey, Kenny RS FR",,12,"Carr, CJ FR",,,,
RB,4,"Love, Jeremiyah SO",,24,"Price, Jadarian RS SO",,21,"Young, Kedren FR",,20,"Williams, Aneyas FR",,23,"Fisher, Justin JR",
DEF,,,,,,,,,,,,,,,
DE,9,"Oben, RJ GR/TR",,40,"Burnham, Joshua RS SO",,30,"Young, Bryce FR",,45,"Onyiuke, Kobi JR",,58,"Ristoff, Grant GR/TR",
NT,56,"Cross III, Howard GR",,97,"Rubio, Gabriel RS JR",,41,"Hinish, Donovan RS SO",,59,"Sevillano Jr., Sean FR",,98,"Houstan, Devan RS FR",
DT,99,"Mills, Rylie GR",,47,"Onye, Jason RS JR",,42,"Mullins, Cole FR",,17,"Vernon, Brenan RS FR",,88,"Mukam, Armel RS FR",
VYPER,12,"Botelho, Jordan GR",,44,"Tuihalamaka, Junior JR",,5,"Traore, Boubacar RS FR",,10,"Thomas, Loghan FR",,94,"Lindstrom, Eric RS FR",
WLB,24,"Kiser, Jack GR",,43,"Kia, Kahanu RS FR",,25,"Zinter, Preston RS FR",,46,"Rullo, Jerry JR",,,,
MLB,34,"Bowen, Drayk SO",,27,"Viliamu-Asa, Kyngstonn FR",,36,"Kahoun, Bodie FR",,33,"Reader, Tre JR",,,,
ROVER,3,"Sneed, Jaylen RS SO",,4,"Ausberry, Jaiden RS FR",,35,"Rezac, Teddy FR",,,,,,,
FCB,7,"Mickey, Jaden JR",,29,"Gray, Christian SO",,21,"Hobbs, Karson FR",,32,"Dunn, Isaiah JR",,49,"Du, Charles SO",
FS,0,"Watts, Xavier GR",,13,"Minich, Ben RS FR",,23,"Urlacher, Kennedy FR",,16,"Johnson, Tae FR",,,,
BS,8,"Shuler, Adon RS FR",,2,"Heard II, Rod GR/TR",,28,"Talich, Luke SO",,22,"Ford, Devyn GR/TR",,,,
BCB,20,"Morrison, Benjamin JR",,18,"Tucker, Chance RS JR",,15,"Moore, Leonard FR",,19,"Auer, Marty SR",,48,"Brown, Mickey SO",
NB,1,"Clark, Jordan GR/TR",,26,"Bell, Micah RS FR/TR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,16,"Rendell, James GR/TR",,91,"Bartel, William GR/TR",,26,"Salerno, Chris SR",,,,,,,
PK,98,"Jeter, Mitch GR/TR",,92,"Yoakam, Zac JR",,48,"Diomede, Marcello SO",,,,,,,
KO,98,"Jeter, Mitch GR/TR",,92,"Yoakam, Zac JR",,48,"Diomede, Marcello SO",,,,,,,
LS,39,"Monteforte, Rino JR",,96,"Vinci, Joseph FR",,49,"Kros, Andrew SO",,,,,,,
H,25,"Devezin, Dylan JR",,,,,,,,,,,,,
PR,6,"Faison, Jordan SO",,1,"Greathouse, Jaden SO",,7,"Mickey, Jaden JR",,,,,,,
KR,24,"Price, Jadarian RS SO",,22,"Ford, Devyn GR/TR",,4,"Love, Jeremiyah SO",,,,,,,
Reserves,,,,,,,,,,,,,,,
RES,,,,,,,,,,,,,,,
INJ,3,"Payne, Gi'Bran RS SO",,,,,,,,,,,,,
