Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Ohio Bobcats,,,,,,,,,,,,,,,
WR-X,7,"Hendricks, Chase SO",,3,"Rodarte, Max JR/TR",,88,"Gossett, Caleb RS JR/TR",,,,,,,
WR-Z,11,"Harris II, Rodney RS SO",,0,"Pugh, Eian RS SO/TR",,,,,,,,,,
WR-F,0,"Dennis, Eamonn RS SR/TR",,6,"Owen, Coleman GR/TR",,,,,,,,,,
LT,77,"Dennison, Jacob RS SR/TR",,,,,,,,,,,,,
LG,74,"Cisse, Tigana JR/TR",,61,"Rogers, Kaden RS JR",,,,,,,,,,
OC,69,"Titsworth, Parker GR",,52,"Jackson, Dane RS SR/TR",,,,,,,,,,
RG,66,"Atkinson, Christophe GR",,51,"Weatherspoon, Davion RS JR",,,,,,,,,,
RT,73,"Habinowski, Joseph RS SR",,,,,,,,,,,,,
TE,86,"Bruno, Jake RS JR/TR",,40,"Blankenship, Beau RS SO/TR",,14,"Butler, Bryce RS JR",,0,"Guffey, Blake RS SO/TR",,,,
QB,13,"Navarro, Parker GR/TR",,9,"Wither, Callum RS SO",,15,"Winters, Jacob RS FR",,0,"Poulos, Nicholas JR/TR",,,,
RB,28,"Hunt Jr., Rickey RS FR",,27,"Tyus III, Anthony SR/TR",,21,"McCormick, Nolan RS JR",,22,"Brune, Duncan FR",,,,
DEF,,,,,,,,,,,,,,,
DE,0,"Walker-Burgess, Marcel SR/TR",,0,"McNaboe, Ben GR/TR",,,,,,,,,,
NT,81,"Henderson, Bralen RS JR",,0,"Hale, Nathan JR/TR",,,,,,,,,,
DT,95,"Doggette, CJ RS SO/TR",,0,"Rice, Cam RS JR/TR",,,,,,,,,,
JACK,19,"Schmitz, Kadin SO",,13,"Seegars, Kaci RS JR/TR",,,,,,,,,,
MLB,35,"Taylor, Shay RS JR",,0,"Collier, Reise RS SR/TR",,,,,,,,,,
WLB,9,"Leake, Blake GR/TR",,,,,,,,,,,,,
FCB,12,"Pearson, Tank SR/TR",,20,"Bannister, Kendall RS FR",,0,"Mack, Michael RS SR/TR",,,,,,,
SS,22,"Williams Jr., Adonis JR",,6,"Johnson, Dustin GR/TR",,2,"Fleming, Miles RS SR/TR",,,,,,,
FS,8,"Brawley, Austin JR",,21,"Walker, DJ RS FR",,28,"Thomeson, Jalen SO",,,,,,,
BCB,4,"Parodie, Roman RS SR",,5,"Proche, Jacob GR/TR",,,,,,,,,,
NB,3,"Wood, Jeremiah GR",,26,"Ryder, Mekah RS SO",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,43,"Wilson, Jack RS SR",,,,,,,,,,,,,
PK,44,"Spetic, Gianni SO",,47,"Kasee, Alex SO",,,,,,,,,,
KO,48,"Lewis, Jacob GR/TR",,47,"Kasee, Alex SO",,,,,,,,,,
LS,0,"Garfield, Colby JR/TR",,,,,,,,,,,,,
H,43,"Wilson, Jack RS SR",,,,,,,,,,,,,
PR,0,"Dennis, Eamonn RS SR/TR",,12,"Pearson, Tank SR/TR",,,,,,,,,,
KR,0,"Dennis, Eamonn RS SR/TR",,12,"Pearson, Tank SR/TR",,,,,,,,,,
