Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Oklahoma State Cowboys,,,,,,,,,,,,,,,
WR-X,10,"Owens, Rashod RS SR",,2,"Shettron, Talyn RS SO",,,,,,,,,,
WR-Z,1,"Stribling, De'Zhaun RS JR/TR",,9,"Shotomide-King, Ayo RS SO/TR",,83,"Cabbiness, Cale RS SR",,,,,,,
WR-SL,80,"Presley, Brennan SR",,17,"Freeman, Gavin JR/TR",,85,"Andrews, Tykie RS FR",,,,,,,
LT,71,"Cooper, Dalton RS SR/TR",,72,"Glass, Isaia RS JR/TR",,,,,,,,,,
LG,67,"Birmingham, Cole RS SR",,73,"Brooks Jr., Jason RS SR/TR",,,,,,,,,,
C,66,"Michalski, Joe RS SR",,51,"Kawecki, Austin RS SO",,75,"Sanders, Jakobe RS FR",,,,,,,
RG,74,"Wilson, Preston RS SR",,68,"Miterko, Taylor RS SR",,,,,,,,,,
RT,61,"Springfield, Jake RS SR",,77,"McKinney, Noah RS SO/TR",,,,,,,,,,
TE,86,"Foster, Tyler RS SR/TR",,82,"Stewart, Quinton RS SR",,40,"Ford, Josh FR",,,,,,,
QB,7,"Bowman, Alan RS SR/TR",,13,"Rangel, Garret RS SO",,6,"Flores, Zane RS FR",,,,,,,
RB,0,"Gordon II, Ollie JR",,3,"Vailahi, Sesi RS FR",,24,"Howland, Trent RS JR/TR",,,,,,,
FB,38,"Schultz, Jake RS SR",,47,"McEndoo, Luke RS JR",,,,,,,,,,
DEF,,,,,,,,,,,,,,,
LDE,96,"Walterscheid, Kody RS SR",,99,"Oates, Iman RS JR/TR",,56,"Ross, Xavier RS SR",,,,,,,
NT,93,"Clay, Collin RS SR/TR",,97,"Kirkland, Justin JR/TR",,71,"Kelley, Aden RS JR",,,,,,,
RDE,87,"Brown, DeSean RS SO",,95,"Johnson, Jaleel RS SO",,,,,,,,,,
WLB,30,"Oliver, Collin SR",,33,"Ezeigbo, Obi RS SR/TR",,35,"Utu, Poasa RS FR",,,,,,,
MLB,4,"Martin, Nick RS JR",,44,"Wright, Justin RS SR/TR",,,,,,,,,,
SLB,5,"Daniels, Kendal RS JR",,22,"Roberson, Jeff RS SR",,,,,,,,,,
FCB,2,"Black, Korie SR",,23,"Harris, Kenneth RS SR/TR",,27,"Gay II, Raymond RS JR",,,,,,,
SS,9,"Rucker, Trey RS SR/TR",,8,"Robertson, Parker RS JR",,,,,,,,,,
FS,7,"Epps, Cameron RS SO",,0,"Hylton, Kobe RS SR/TR",,,,,,,,,,
BCB,3,"Smith, Cam RS JR",,10,"Smith, Kale RS JR",,,,,,,,,,
NB,11,"Smith, Dylan SO",,6,"Rawls, Lyrik RS JR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,29,"Kaak, Hudson SO",,90,"Pahl, Wes RS SR/TR",,,,,,,,,,
PK,19,"Ward, Logan RS JR",,39,"Tabor, Drake RS JR/TR",,,,,,,,,,
KO,19,"Ward, Logan RS JR",,90,"Pahl, Wes RS SR/TR",,,,,,,,,,
LS,44,"Freibaum, Shea SO",,57,"Davenport, Aidan RS SR/TR",,,,,,,,,,
H,90,"Pahl, Wes RS SR/TR",,29,"Kaak, Hudson SO",,,,,,,,,,
PR,80,"Presley, Brennan SR",,27,"Pearson, Kyler RS SR/TR",,,,,,,,,,
KR,80,"Presley, Brennan SR",,83,"Cabbiness, Cale RS SR",,,,,,,,,,
Reserves,,,,,,,,,,,,,,,
RES,,,,,,,,,,,,,,,
INJ,4,"Green, AJ SR/TR",,,,,,,,,,,,,
