Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Old Dominion Monarchs,,,,,,,,,,,,,,,
WR-X,0,"Vines, Diante RS SR/TR",,13,"Houston, Demariyon RS SR/TR",,18,"Pitts, Fidel Tau JR/TR",,,,,,,
WR-Z,6,"Williams, Kelby JR/TR",,11,"Dutton, Dominic RS JR/TR",,85,"Sims, Dallas RS FR/TR",,,,,,,
WR-SL,1,"Paige, Isiah SR",,8,"Alston, Myles RS JR/TR",,12,"Lott, TJ RS FR",,86,"Miller, Kyle SO/TR",,,,
LT,77,"McNally, Keanon RS SO/TR",,70,"Moore, Rick RS JR/TR",,,,,,,,,,
LG,58,"Dubose-Bourne, Stephon RS JR",,72,"Henrich, Colin RS JR/TR",,60,"Dow, Spencer RS FR",,,,,,,
C,64,"Barlev, Zach RS JR/TR",,60,"Dow, Spencer RS FR",,,,,,,,,,
RG,51,"Flores, Michael RS SR/TR",,78,"Hoskin, Elijah RS JR",,,,,,,,,,
RT,71,"Saunders, Santana SR",,55,"Woudsma, Maarten RS SO",,,,,,,,,,
TE,9,"Butler, Jalen JR/TR",,15,"Conroy, Pat RS SR/TR",,80,"Chandler, DJ JR/TR",,84,"Dunbar, Quan RS FR",,87,"Lancaster, Trey RS SR/TR",
QB,7,"Wilson, Grant RS JR/TR",,14,"Morehead, Emmett RS JR/TR",,2,"Joseph, Colton RS FR",,10,"Henicle, Quinn FR",,16,"Brown, Holden FR",
RB,5,"Young, Aaron RS SR/TR",,4,"Duke, Bryce JR/TR",,3,"Roche, Devin RS FR",,26,"Sims, Tariq RS JR",,22,"James, Maurki FR",
DEF,,,,,,,,,,,,,,,
LDE,43,"Trinidad, Kris RS JR",,56,"White-McClain, Jaylon RS SO",,52,"Bacigalupi, Jonathan JR/TR",,,,,,,
NT,8,"Lowry, Denzel RS JR",,99,"Daniels, Cole RS JR/TR",,90,"Lynch, DeAndre RS FR",,,,,,,
RDE,4,"Morrison, Amorie RS JR",,91,"Williams Jr., Ricardo SR/TR",,98,"Spencer, Christopher RS SO",,,,,,,
WLB,42,"Henderson, Jason SR",,10,"Naotala, Koa RS SO",,,,,,,,,,
MLB,1,"Green, EJ RS SR",,32,"Drummer, Ja'Mez RS JR/TR",,,,,,,,,,
SLB,18,"Thompson, Mario SO",,34,"Culbreath, Jahleel RS SO",,,,,,,,,,
LCB,6,"Reason, Rasheed SR/TR",,22,"McKithen, Justin SR/TR",,36,"Miles, Quedrion RS SO/TR",,,,,,,
SS,2,"Smith-Young, Patrick RS SO/TR",,3,"Easterly, Mario RS SO",,19,"Mack Jr., Jeremy RS JR/TR",,,,,,,
FS,14,"Whitner, Ashton RS SO/TR",,5,"Manning, Jahron JR/TR",,29,"Knight, Markus RS JR/TR",,,,,,,
RCB,0,"Rankin Jr., Angelo SR/TR",,23,"Griffin, Dywan RS SR/TR",,16,"Harris, Khian'Dre RS JR",,,,,,,
NB,7,"Jones II, Will RS SR/TR",,27,"Ramey, Ryan SO",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,97,"Hall, Seamus SR/TR",,96,"Brandt, Ian RS FR",,,,,,,,,,
PK,92,"Sanchez, Ethan JR",,47,"Chang, Ethan RS SR/TR",,93,"Eichner, Nathanial RS SO/TR",,,,,,,
KO,92,"Sanchez, Ethan JR",,47,"Chang, Ethan RS SR/TR",,93,"Eichner, Nathanial RS SO/TR",,,,,,,
LS,45,"Walters, Brock SO",,94,"Richards, Brandon SR/TR",,57,"Harvey, Ryan RS SR/TR",,,,,,,
H,97,"Hall, Seamus SR/TR",,96,"Brandt, Ian RS FR",,,,,,,,,,
PR,1,"Paige, Isiah SR",,,,,,,,,,,,,
KR,3,"Roche, Devin RS FR",,16,"Harris, Khian'Dre RS JR",,,,,,,,,,
