Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Oregon Ducks,,,,,,,,,,,,,,,
WR-X,1,"Holden, Traeshon SR/TR",,17,"Kasper, Kyler RS SO",,11,"McClellan, Jeremiah FR",,80,"Gresham, Dillon FR",,,,
WR-Z,7,"Stewart, Evan JR/TR",,13,"Dickey, Jurrion SO",,14,"Lowe, Justius RS SO",,81,"Pellum, Ryan FR",,,,
WR-F,15,"Johnson, Tez SR/TR",,2,"Bryant Jr., Gary RS JR/TR",,84,"Ressler, Jack FR",,,,,,,
LT,76,"Conerly Jr., Josh JR",,71,"Silva, George RS SR/TR",,56,"Ferguson, Trent FR",,59,"Crader, Fox FR",,,,
LG,55,"Harper II, Marcus SR",,74,"Iuli, Dave JR",,78,"Wilson, Gernorris RS FR",,53,"Brooks, Devin FR",,,,
C,72,"Laloulu, Iapani SO",,70,"Pickard, Charlie RS JR",,60,"Rossi, Kanen RS JR",,66,"Boulton, Bryce RS FR",,,,
RG,77,"Bedford, Matthew RS SR/TR",,50,"Strother, Nishad RS SR/TR",,79,"Moala, Lipe RS FR",,,,,,,
RT,65,"Cornelius, Ajani RS SR/TR",,73,"Rogers, Kawika RS SO",,75,"McRoy, JacQawn FR",,,,,,,
TE,3,"Ferguson, Terrance SR",,88,"Herbert, Patrick RS SR",,18,"Sadiq, Kenyon SO",,83,"Saleapaga, Roger FR",,87,"Pugliano, A.J. FR",
QB,8,"Gabriel, Dillon RS SR/TR",,5,"Moore, Dante SO/TR",,16,"Novosad, Austin RS FR",,10,"Moga, Luke FR",,,,
RB,20,"James, Jordan JR",,6,"Whittington, Noah RS JR/TR",,22,"Harris, Jay JR/TR",,27,"Limar, Jayden SO",,21,"Riggs, Da'Jaun FR",
DEF,,,,,,,,,,,,,,,
DE,1,"Burch, Jordan SR/TR",,47,"Rushing, Elijah FR",,88,"Sims, Xadavien FR",,,,,,,
NT,90,"Caldwell, Jamaree SR/TR",,52,"Washington, A'Mauri SO",,99,"Green, Terrance RS FR",,50,"Gray, Tionne FR",,77,"Johnson, Jericho FR",
DT,95,"Ware-Hudson, Keyon RS SR",,55,"Harmon, Derrick RS JR/TR",,93,"Gardner, My'Keil RS FR",,42,"Breland, Aydin FR",,,,
JACK,10,"Uiagalelei, Matayo SO",,44,"Tuioti, Teitum SO",,56,"Moore, Jaeden RS FR",,80,"Jones, Jaxson FR",,,,
MAC,4,"Jacobs, Jestin RS SR/TR",,28,"Boettcher, Bryce RS SR",,54,"Mixon, Jerry SO",,22,"Soelle, Connor RS SR/TR",,20,"Williams, Dylan FR",
MONEY,2,"Bassa, Jeffrey SR",,26,"Jackson, Devon RS SO",,33,"Mothudi, Kamar FR",,23,"Platt, Brayden FR",,,,
SAM,32,"Winston, Emar'rion RS SO",,17,"Purchase, Blake SO",,29,"Porter, Ashton RS FR",,,,,,,
FCB,18,"Alexander, Kam SR/TR",,13,"Laulea, Sione JR/TR",,11,"Fields, Dakoda FR",,16,"Pleasant, Rodrick SO",,25,"Obidegwu, Ify FR",
SS,0,"Johnson, Tysheem SR/TR",,21,"Flowers, Aaron FR",,19,"Turner, Tyler RS FR",,,,,,,
FS,5,"Savage, Kobe SR/TR",,24,"Lopa, Kingston FR",,12,"Woodyard, Peyton FR",,,,,,,
BCB,7,"Muhammad, Jabbar SR/TR",,8,"Manning, Dontae SR",,6,"Florence, Jahlil JR",,14,"Terrell, Khamari JR",,,,
NB,3,"Johnson, Brandon SR/TR",,9,"Reed, Nikko SR/TR",,27,"Austin, Daylen RS FR",,15,"Davis, Solomon RS FR",,,,
ST,,,,,,,,,,,,,,,
PT,92,"James, Ross RS JR/TR",,45,"Dunne, Luke RS FR",,94,"Kinsman, Tyler FR",,,,,,,
PK,36,"Sappington, Atticus RS JR/TR",,93,"Meadors, Grant RS FR",,98,"Boyle, Andrew RS SR/TR",,97,"Hurych, Gage FR",,,,
KO,98,"Boyle, Andrew RS SR/TR",,36,"Sappington, Atticus RS JR/TR",,93,"Meadors, Grant RS FR",,97,"Hurych, Gage FR",,,,
LS,43,"Basso, Luke RS JR",,96,"Duzansky, Nick RS FR",,,,,,,,,,
H,92,"James, Ross RS JR/TR",,45,"Dunne, Luke RS FR",,,,,,,,,,
PR,15,"Johnson, Tez SR/TR",,2,"Bryant Jr., Gary RS JR/TR",,7,"Stewart, Evan JR/TR",,,,,,,
KR,2,"Bryant Jr., Gary RS JR/TR",,6,"Whittington, Noah RS JR/TR",,9,"Reed, Nikko SR/TR",,16,"Pleasant, Rodrick SO",,,,
