Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Oregon State Beavers,,,,,,,,,,,,,,,
WR-X,1,"Clemons, Darrius JR/TR",,12,"Card, Zachary RS FR",,0,"Durant, Malachi FR",,,,,,,
WR-Z,21,"Wells Jr., David SO",,28,"Walker, Trent RS JR",,3,"East, Jamai RS SO/TR",,,,,,,
WR-SL,18,"Noga, Jeremiah RS JR",,14,"Holmes, Jailen JR/TR",,88,"Anderson, Jordan FR",,,,,,,
LT,69,"Strand, Jacob RS SO",,77,"Gonzalez, Flavio RS SR/TR",,,,,,,,,,
LG,67,"Gray, Joshua RS SR",,63,"Vincic, Luka RS SO",,,,,,,,,,
C,58,"Wells, Van JR/TR",,70,"Esty, Zander RS FR",,,,,,,,,,
RG,78,"Elu, Nathan RS SO",,79,"Voltin, Tyler RS JR",,,,,,,,,,
RT,66,"Starck, Grant RS JR/TR",,0,"Christian-Lichtenhan, Gerad RS SR/TR",,,,,,,,,,
TE,84,"Terry II, Jermaine SR/TR",,89,"Caufield, Bryce RS JR",,85,"Jensen, Cooper RS FR",,82,"Milbourn, Gabe RS JR",,,,
QB,17,"Gulbranson, Ben RS JR",,7,"McCoy, Gevani RS JR/TR",,5,"Johnson, Gabarri RS FR/TR",,15,"Montiel, Dom RS SO",,,,
RB,8,"Griffin, Jam RS SR/TR",,0,"Hankerson, Anthony JR/TR",,34,"Reichle, Jake RS SO",,0,"Hatcher Jr., Cornell FR",,0,"Allah, Salahadin FR",
DEF,,,,,,,,,,,,,,,
DE,43,"Hickle, Takari RS SO",,98,"Collins, Thomas RS FR",,58,"Howard, Kelze RS FR",,,,,,,
NT,62,"Schuster, Jacob RS JR/TR",,59,"Pome'e, Tevita RS FR/TR",,90,"Johnson, Jojo RS FR",,,,,,,
DT,45,"Saluni, Semisi SR",,95,"Hill, Tygee RS SO/TR",,97,"Norris, Nick SR/TR",,,,,,,
LOLB,25,"Taylor, Nikko SR/TR",,56,"Saez, Zakaih RS FR",,,,,,,,,,
LILB,9,"Chisom, Isaiah RS FR",,2,"Sullivan, Aiden JR/TR",,48,"Moala, Jessaia RS FR/TR",,,,,,,
RILB,44,"Jordan IV, Melvin RS SO",,42,"Goodman, Gyriece JR/TR",,,,,,,,,,
ROLB,33,"Omotosho, Oluwaseyi RS JR/TR",,13,"Wesolak, DJ RS SO/TR",,,,,,,,,,
LCB,4,"Robinson, Jaden RS SR",,1,"White, Mason RS JR/TR",,23,"Ayers, Exodus FR",,,,,,,
SS,24,"Kane, Jack RS JR",,12,"Ivy Jr., Tyrice SR/TR",,5,"York, Amarion JR/TR",,,,,,,
FS,17,"Thomas, Skyler RS JR/TR",,26,"Howard, Harlem RS FR/TR",,6,"Patterson, Jaheim SO/TR",,,,,,,
RCB,0,"Singleton, Kobe SR/TR",,27,"Jordan Jr., Andre RS FR",,,,,,,,,,
NB,21,"Thomas Jr., Noble RS SO",,8,"Vadrawale III, Sailasa RS FR/TR",,30,"Johnson, Josiah RS JR",,,,,,,
ST,,,,,,,,,,,,,,,
PT,37,"Green, Josh RS SR/TR",,38,"Winsor, AJ RS FR",,,,,,,,,,
PK,35,"Hayes, Everett RS SR",,31,"Walker, Max RS SO",,,,,,,,,,
KO,35,"Hayes, Everett RS SR",,31,"Walker, Max RS SO",,,,,,,,,,
LS,48,"Black, Dylan RS SR",,33,"Hogan, Peyton RS JR",,49,"Miner, Frank RS SO",,,,,,,
H,37,"Green, Josh RS SR/TR",,38,"Winsor, AJ RS FR",,,,,,,,,,
PR,21,"Wells Jr., David SO",,12,"Card, Zachary RS FR",,,,,,,,,,
KR,21,"Wells Jr., David SO",,,,,,,,,,,,,
Reserves,,,,,,,,,,,,,,,
RES,,,,,,,,,,,,,,,
INJ,2,"Valsin III, Jimmy RS JR",,73,"Morano, Tyler RS JR",,,,,,,,,,
