Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Penn State Nittany Lions,,,,,,,,,,,,,,,
WR-X,3,"Fleming, Julian SR/TR",,5,"Evans, Omari JR",,80,"Flowers, Mehki RS SO",,84,"Gonzalez, Peter FR",,,,
WR-Z,6,"Wallace III, Harrison RS JR",,8,"Johnson, Tyler RS SO",,12,"Ivey, Anthony RS SO",,,,,,,
WR-SL,7,"Saunders, Kaden RS SO",,2,"Clifford, Liam RS JR",,19,"Brown, Josiah FR",,,,,,,
LT,66,"Shelton, Drew JR",,74,"Williams, J'ven RS FR",,,,,,,,,,
LG,71,"Ioane, Olaivavega RS SO",,56,"Nelson, JB RS SR/TR",,,,,,,,,,
C,53,"Dawkins, Nick RS SR",,50,"Cousins, Cooper FR",,,,,,,,,,
RG,77,"Wormley, Sal RS SR",,63,"Birchmeier, Alex RS FR",,,,,,,,,,
RT,72,"Rucci, Nolan RS JR/TR",,68,"Donkoh, Anthony RS FR",,55,"Onoh, Chimdy RS FR",,,,,,,
TE,44,"Warren, Tyler SR",,16,"Dinkins, Khalil RS JR",,87,"Rappleyea, Andrew RS FR",,85,"Reynolds, Luke FR",,88,"Cross, Jerry RS SO",
QB,15,"Allar, Drew JR",,9,"Pribula, Beau RS SO",,17,"Grunkemeyer, Ethan FR",,19,"Lambert, Jack RS FR",,,,
RB,10,"Singleton, Nicholas JR",,13,"Allen, Kaytron JR",,26,"Wallace, Cam RS FR",,25,"Martin Jr., Quinton FR",,24,"Smith, Corey FR",
DEF,,,,,,,,,,,,,,,
LDE,33,"Dennis-Sutton, Dani JR",,36,"Fisher, Zuriah RS SR",,92,"Vilbert, Smith RS SR",,56,"Mupoyi, Joseph RS FR",,,,
LDT,28,"Durant, Zane JR",,51,"Beamon, Hakeem RS SR",,50,"Ford Jr., Alonzo RS SR/TR",,39,"Blanding, Ty RS FR",,97,"Cunningham, T.A. FR",
RDT,91,"J-Thomas, Dvon RS SR",,99,"Izzard, Coziah SR",,58,"Artis, Kaleb RS SO",,90,"Andrews, Liam FR",,94,"Cook, De'Andre FR",
RDE,11,"Carter, Abdul JR",,15,"Vanover, Amin SR",,42,"Robinson, Mason RS FR",,,,,,,
WLB,13,"Rojas, Tony SO",,24,"Robinson, Ta'Mere RS FR",,14,"Mills, Tyrece RS SR/TR",,,,,,,
MLB,41,"King, Kobe RS JR",,43,"Elsdon, Tyler SR",,40,"Speca, Anthony FR",,,,,,,
SLB,0,"DeLuca, Dominic RS JR",,32,"Wylie, Keon RS SO",,30,"Jackson, Kari FR",,,,,,,
LCB,5,"Miller, Cam JR",,3,"Kimber, Jalen RS SR/TR",,7,"Tracy, Zion SO",,23,"Belgrave-Shorter, Antoine FR",,,,
SS,2,"Winston Jr., Kevin JR",,8,"Nelson, DaKaari RS FR",,10,"Lane, Dejuan FR",,,,,,,
FS,6,"Wheatley, Zakee RS JR",,27,"Payne Jr., Lamont RS FR",,21,"Toure, Vaboue FR",,,,,,,
RCB,4,"Harris, A.J. SO/TR",,29,"Collins, Audavion RS SO/TR",,16,"Washington II, Elliot SO",,12,"Mitchell, Jon FR",,,,
NB,1,"Reed, Jaylen SR",,,,,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,95,"Thompson, Riley JR/TR",,99,"Nwosu, Gabriel RS JR",,,,,,,,,,
PK,93,"Sahaydak, Sander RS JR",,91,"Meyer, Chase JR/TR",,,,,,,,,,
KO,99,"Nwosu, Gabriel RS JR",,,,,,,,,,,,,
LS,48,"Duzansky, Tyler RS JR",,47,"Patton, Will RS SO",,,,,,,,,,
H,95,"Thompson, Riley JR/TR",,,,,,,,,,,,,
PR,7,"Saunders, Kaden RS SO",,,,,,,,,,,,,
KR,10,"Singleton, Nicholas JR",,25,"Martin Jr., Quinton FR",,,,,,,,,,
Reserves,,,,,,,,,,,,,,,
RES,,,,,,,,,,,,,,,
INJ,14,"Smolik, Jaxon RS FR",,,,,,,,,,,,,
