Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Pittsburgh Panthers,,,,,,,,,,,,,,,
WR-X,2,"Johnson, Kenny SO",,23,"Fowler-El, Zion RS FR",,83,"Seymore, Lamar RS FR",,,,,,,
WR-Z,9,"Mumpfield, Konata SR/TR",,22,"Lee, Censere JR/TR",,84,"McConnachie, Jake RS SR",,,,,,,
WR-SL,3,"Reynolds, Daejon RS JR/TR",,20,"Williams Jr., Raphael RS JR/TR",,21,"Nwabuko, Che RS SO",,,,,,,
LT,78,"Taylor, Branson RS SR",,67,"Ray, Tai RS FR",,,,,,,,,,
LG,61,"Jacoby, Ryan RS SR/TR",,74,"Enos Jr., Terrence RS JR",,0,"Holmes, Caleb FR",,,,,,,
C,58,"Moore, Terrence RS JR",,56,"Cooper, Lyndon RS JR/TR",,,,,,,,,,
RG,55,"Williams, BJ SO",,50,"Collier Jr., Jason RS SR",,72,"Montgomery, Isaiah RS SO",,,,,,,
RT,70,"Baer, Ryan RS SO",,77,"Brown, Jackson RS SO/TR",,,,,,,,,,
TE,86,"Bartholomew, Gavin SR",,87,"Overman, Jake RS SR/TR",,88,"Renda, Jake RS JR",,,,,,,
QB,19,"Yarnell, Nate RS JR",,10,"Holstein, Eli RS FR/TR",,,,,,,,,,
RB,6,"Hammond Jr., Rodney SR",,25,"Reid, Desmond JR/TR",,34,"Davis Jr., Derrick RS JR/TR",,4,"Carter, Daniel RS SR",,,,
DEF,,,,,,,,,,,,,,,
LDE,98,"Matlack, Nate RS SR/TR",,90,"Edwards, Sincere FR",,,,,,,,,,
LDT,55,"FitzSimmons, Sean RS SO",,97,"Neal, Isaiah RS FR",,94,"Donald, Elliot RS JR",,,,,,,
RDT,4,"Johnson, Nahki RS JR",,96,"James, Nick RS SO/TR",,95,"Brewu, Francis FR",,,,,,,
RDE,44,"Scott, Jimmy RS SO",,57,"Brima, Bam RS SR",,43,"Ojiegbe, David RS FR/TR",,,,,,,
MONEY,31,"Biles, Rasheem SO",,36,"Thompson, Keye RS SR/TR",,59,"Lapi, Nick RS JR",,,,,,,
MIKE,30,"George, Brandon RS SR",,35,"Lovelace, Braylan SO",,32,"Marcelin, Jeremiah FR",,,,,,,
STAR,38,"Louis, Kyle RS SO",,20,"Bass, Jordan SO",,0,"Lindsey, Cam FR",,,,,,,
LCB,10,"Gandy, Ryland RS SO",,25,"Lynum, Tamon RS SR/TR",,28,"Biglow, Noah RS JR",,,,,,,
SS,3,"McMillon, Donovan SR/TR",,34,"Brookins, Cruce RS FR",,,,,,,,,,
FS,7,"McIntyre, Javon RS JR",,5,"O'Brien Jr., Phillip SR",,16,"Anderson, Jesse RS FR",,,,,,,
RCB,0,"Anglin Jr., Jaremiah RS FR/TR",,15,"Battle, Rashad RS SR",,15,"Crumpley, Tamarion RS JR",,,,,,,
ST,,,,,,,,,,,,,,,
PT,91,"Junko, Caleb RS JR",,92,"Guess, Cam RS SR",,,,,,,,,,
PK,90,"Sauls, Ben RS SR",,94,"Carpenter, Sam RS FR",,,,,,,,,,
KO,90,"Sauls, Ben RS SR",,94,"Carpenter, Sam RS FR",,,,,,,,,,
LS,47,"Upadhyayula, Nilay RS JR/TR",,48,"Crawford, Nico RS SO/TR",,,,,,,,,,
H,92,"Guess, Cam RS SR",,91,"Junko, Caleb RS JR",,,,,,,,,,
PR,21,"Nwabuko, Che RS SO",,,,,,,,,,,,,
KR,2,"Johnson, Kenny SO",,,,,,,,,,,,,
Reserves,,,,,,,,,,,,,,,
RES,,,,,,,,,,,,,,,
INJ,6,"Temple, Nate RS SR",,,,,,,,,,,,,
