Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Purdue Boilermakers,,,,,,,,,,,,,,,
WR-X,9,"Smith, CJ RS SO/TR",,0,"Dixon-Veal, Jayden SR/TR",,8,"Morrissette, De'Nylon RS SO/TR",,,,,,,
WR-Z,7,"Edrine, Jahmal RS JR/TR",,13,"Tibbs, Jaron SO",,11,"Harris, Tra'Mar FR",,,,,,,
WR-SL,26,"Sowinski, Andrew RS SR",,4,"Brown, Kam RS SR/TR",,6,"Branch, Arhmad RS FR",,,,,,,
LT,71,"Stewart, Corey RS SR/TR",,74,"Sales Jr., Joshua RS JR/TR",,52,"Green, Rod RS JR/TR",,61,"Roberts, Aaron RS JR",,,,
LG,77,"Moussa, Mahamane RS JR",,79,"Tanona, Joey RS SO/TR",,67,"Woodruff, Drew RS SO",,,,,,,
C,53,"Hartwig, Gus SR",,75,"Grant, Jalen SR/TR",,68,"Liston, Jimmy RS FR",,,,,,,
RG,55,"Wingfield, DJ RS SR/TR",,54,"Griffin, Luke RS SR/TR",,,,,,,,,,
RT,63,"Mbow, Marcus RS JR",,78,"Coly, Bakyne JR/TR",,73,"Bouldin, Jaekwon JR/TR",,,,,,,
TE,86,"Klare, Max RS SO",,81,"Burhenn, George SO",,82,"Biber, Drew RS JR",,,,,,,
QB,1,"Card, Hudson RS SR/TR",,15,"Browne, Ryan RS FR",,5,"Davila, Marcos FR",,18,"Meredith, Bennett RS SO/TR",,,,
RB,45,"Mockobee, Devin RS JR",,23,"Love III, Reggie RS SR/TR",,3,"Merriweather, Jaheim FR",,33,"Jackson, Elijah RS FR",,,,
DEF,,,,,,,,,,,,,,,
LDE,15,"Heldt, Will SO",,99,"Ojata, Jireh SR/TR",,,,,,,,,,
NT,91,"Brevard, Cole RS SR/TR",,92,"Omonode, Mo JR",,34,"Lewis, Damarjhe RS SR/TR",,,,,,,
DT,0,"M'Ba, Jeffrey RS SR/TR",,95,"Anderson, Joe RS SR/TR",,55,"Dinkins, Jamarius RS JR/TR",,,,,,,
RDE,8,"Madden, CJ RS SO/TR",,17,"Sillah, Shitta RS SR/TR",,,,,,,,,,
WLB,14,"Karlaftis, Yanni RS JR",,22,"Davis, Owen SO",,37,"Sumlin, Joey RS FR",,,,,,,
MLB,4,"Jenkins, Kydran SR",,20,"Berglund, Winston RS FR",,40,"Miller, Hudson RS SO",,,,,,,
FCB,2,"Green, Nyland RS JR/TR",,19,"Alisandro, Botros JR/TR",,,,,,,,,,
SS,11,"Stevens, Antonio RS SR",,46,"Smith, Sterling SO/TR",,,,,,,,,,
FS,31,"Thieneman, Dillon SO",,32,"Jefferson II, Joseph RS SO",,,,,,,,,,
BCB,3,"Rogers Jr., Derrick SO",,1,"Brown, Markevious SR/TR",,,,,,,,,,
STAR,10,"Breedlove, Kyndrich RS JR/TR",,7,"Turner-Muhammad, Salim GR/TR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,30,"Crimmins, Keelan SO/TR",,48,"Boehnlein, Bennett RS SO",,,,,,,,,,
PK,35,"Porath, Spencer FR",,39,"Freehill, Ben RS SR/TR",,36,"Lopez, RJ SR/TR",,,,,,,
KO,36,"Lopez, RJ SR/TR",,35,"Porath, Spencer FR",,39,"Freehill, Ben RS SR/TR",,,,,,,
LS,44,"Levy, Nick JR/TR",,43,"Strnad, Claude RS FR/TR",,,,,,,,,,
H,30,"Crimmins, Keelan SO/TR",,48,"Boehnlein, Bennett RS SO",,,,,,,,,,
PR,26,"Sowinski, Andrew RS SR",,31,"Thieneman, Dillon SO",,,,,,,,,,
KR,9,"Smith, CJ RS SO/TR",,23,"Love III, Reggie RS SR/TR",,45,"Mockobee, Devin RS JR",,,,,,,
