Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Rutgers Scarlet Knights,,,,,,,,,,,,,,,
WR-X,18,"Brantley, Naseim RS SR/TR",,8,"Duff, KJ FR",,4,"Amankwaa, Thomas RS SO",,,,,,,
WR-Z,0,"Miller, Dymere SR/TR",,9,"Strong, Ian SO",,1,"Toure, Famah RS FR",,,,,,,
WR-SL,6,"Dremel, Christian RS SR",,3,"Long, Chris SR",,7,"Braithwaite, Dylan RS FR",,,,,,,
LT,72,"Pierce, Hollin SR",,63,"White, Taj RS SO",,,,,,,,,,
LG,65,"Felter, Bryan RS JR",,76,"Chin, Dantae RS SO",,,,,,,,,,
C,59,"Zilinskas, Gus RS JR",,71,"Stone, John RS FR",,73,"Salami, Terrence RS JR",,,,,,,
RG,69,"Asamoah, Kwabena RS SO",,70,"Sutton, Reggie RS SR",,,,,,,,,,
RT,56,"Needham, Tyler RS JR",,64,"Rhodes Jr., Shedrick RS SR/TR",,74,"Rivera, Dominic RS FR",,,,,,,
TE,12,"Fletcher, Kenny JR",,89,"Konopka, Victor RS JR",,88,"Higgins, Mike RS SO",,11,"Blake, Logan RS FR",,,,
QB,16,"Kaliakmanis, Athan RS JR/TR",,15,"Sheppard, Ajani RS FR",,10,"Surace, AJ FR",,19,"O'Sullivan, Colin RS FR",,,,
RB,5,"Monangai, Kyle SR",,27,"Brown V, Samuel JR",,20,"Benjamin, Ja'shon SO",,22,"Winowich, Gabe FR",,,,
DEF,,,,,,,,,,,,,,,
LDE,71,"Lewis, Aaron SR",,91,"Rahman, Djibril Abdou RS FR",,42,"Allen, DJ RS SO",,,,,,,
NT,48,"Hamilton, Kyonte SR",,51,"Rainey, Troy RS JR",,96,"Griffin, Keshon RS JR",,,,,,,
DT,9,"Ray, Malcolm RS SR/TR",,55,"Angoy, Zaire RS JR",,94,"Peterson, JaSiré RS FR",,,,,,,
RDE,23,"Bailey, Wesley SR",,14,"Thompson, Jordan RS JR",,80,"Bethea, Aaris FR",,,,,,,
WLB,2,"Walker, Moses RS SO",,11,"Wright, Abram RS FR",,8,"Wright-Collins, Jamier SR",,,,,,,
MLB,22,"Powell, Tyreem SR",,28,"Djabome, Dariel RS SO",,44,"Hinspeter, Timmy RS SO",,,,,,,
LCB,7,"Longerbeam, Robert SR",,15,"Williams, Zilan RS SO",,13,"White Jr., Antonio FR",,,,,,,
SS,6,"Loyal, Shaquan SR",,37,"Lusardi, Joe SR",,,,,,,,,,
FS,10,"Dixon, Flip SR/TR",,5,"Sanders, Kaj FR",,,,,,,,,,
RCB,0,"Rogers, Eric RS SR/TR",,3,"Mascoe, Bo RS FR",,27,"Clawges, Sage RS FR",,,,,,,
NB,4,"Igbinosun, Desmond SR",,19,"Fuse, Davoun RS FR",,38,"Ward, Timmy SR",,,,,,,
ST,,,,,,,,,,,,,,,
PT,94,"Anderson, Jakob FR",,,,,,,,,,,,,
PK,44,"Patel, Jai RS SO",,97,"McCann, Riley RS FR",,93,"Scullion, Jack FR",,29,"Pizzaro, Dane FR",,,,
KO,44,"Patel, Jai RS SO",,97,"McCann, Riley RS FR",,93,"Scullion, Jack FR",,29,"Pizzaro, Dane FR",,,,
LS,47,"Riggs, Austin SR/TR",,99,"O'Connor, Michael RS JR",,46,"El Hadidi, Sammy RS SO",,,,,,,
H,94,"Anderson, Jakob FR",,,,,,,,,,,,,
PR,6,"Dremel, Christian RS SR",,41,"Kinsler, Jordan RS JR",,,,,,,,,,
KR,6,"Dremel, Christian RS SR",,20,"Benjamin, Ja'shon SO",,,,,,,,,,
Reserves,,,,,,,,,,,,,,,
RES,,,,,,,,,,,,,,,
INJ,1,"Toure, Mohamed RS SR",,,,,,,,,,,,,
