Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
SMU Mustangs,,,,,,,,,,,,,,,
WR-X,9,"Smith, Key'Shawn SR/TR",,5,"Dixon, Moochie SR/TR",,,,,,,,,,
WR-Z,3,"Brinson, Romello SR/TR",,8,"Hudson, Jordan JR/TR",,,,,,,,,,
WR-SL,12,"Bailey, Jake GR/TR",,13,"Daniels Jr., Roderick SR",,,,,,,,,,
LT,59,"Williams, PJ RS SO/TR",,65,"Laphen, Jack RS SO",,,,,,,,,,
LG,71,"Parr, Logan GR/TR",,54,"Byrd, Savion RS JR/TR",,,,,,,,,,
C,51,"Osborne, Justin GR/TR",,53,"Clark, Jakai GR/TR",,,,,,,,,,
RG,53,"Clark, Jakai GR/TR",,75,"Sparks, Ben SR",,,,,,,,,,
RT,69,"Anderson, Nate RS JR/TR",,72,"Johnson, Caleb RS JR/TR",,,,,,,,,,
TE,82,"Maryland, RJ JR",,88,"Hibner, Matthew GR/TR",,85,"Moore, Adam SO",,,,,,,
QB,2,"Stone, Preston RS JR",,7,"Jennings, Kevin RS SO",,6,"Luster, Keldric RS FR",,,,,,,
RB,1,"Smith, Brashard SR/TR",,11,"Johnson Jr., LJ RS JR/TR",,4,"Knighton, Jaylan SR/TR",,,,,,,
DEF,,,,,,,,,,,,,,,
DE,5,"Roberts, Elijah SR/TR",,15,"Robertson, Cameron JR/TR",,,,,,,,,,
NT,10,"Booker Jr., Anthony GR/TR",,9,"Lockhart, Mike GR/TR",,,,,,,,,,
DT,81,"Harrison-Hunte, Jared RS SR/TR",,94,"Jefferson, Jonathan GR/TR",,92,"Roberson Jr., Kori GR/TR",,,,,,,
BAN,6,"Harvey, Jahfari SR/TR",,58,"Smith, Isaiah JR",,32,"Walton III, Billy RS FR/TR",,,,,,,
MLB,24,"Wilson, Kobe GR/TR",,54,"Kilgore, Alexander SO",,,,,,,,,,
WLB,34,"Walker, Ahmad SR/TR",,54,"Kilgore, Alexander SO",,,,,,,,,,
LCB,1,"Crossley, Brandon GR/TR",,4,"Rogers, Jahari SR/TR",,0,"Nettles, William FR",,,,,,,
SS,23,"Nwokobia, Isaiah RS JR",,3,"Moses, Ahmaad JR",,,,,,,,,,
FS,2,"McGill, Jonathan GR/TR",,3,"Moses, Ahmaad JR",,,,,,,,,,
RCB,13,"Davis-Robinson, Jaelyn RS SO/TR",,14,"Davis, AJ RS SO",,7,"Harmon, Deuce RS JR/TR",,,,,,,
NB,22,"Sanders Jr., Cale SR/TR",,2,"McGill, Jonathan GR/TR",,11,"Milliner-Jones, Jaden SO/TR",,,,,,,
ST,,,,,,,,,,,,,,,
PT,49,"Pearson, Isaac GR/TR",,96,"Waller, Jackson FR",,,,,,,,,,
PK,41,"Rogers, Collin JR",,97,"Lozano, Gabriel GR/TR",,,,,,,,,,
KO,41,"Rogers, Collin JR",,97,"Lozano, Gabriel GR/TR",,,,,,,,,,
LS,48,"Benton IV, Will GR",,56,"O'Quinn, Brock RS FR/TR",,,,,,,,,,
H,49,"Pearson, Isaac GR/TR",,96,"Waller, Jackson FR",,,,,,,,,,
PR,13,"Daniels Jr., Roderick SR",,12,"Bailey, Jake GR/TR",,,,,,,,,,
KR,1,"Smith, Brashard SR/TR",,9,"Smith, Key'Shawn SR/TR",,,,,,,,,,
Reserves,,,,,,,,,,,,,,,
RES,,,,,,,,,,,,,,,
INJ,0,"Wheaton, Camar RS JR/TR",,74,"Chamblee, Andrew RS SO/TR",,,,,,,,,,
