Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
San Diego State Aztecs,,,,,,,,,,,,,,,
WR-X,83,"Shaw, Mekhi RS SR",,80,"Brooks, Baylin SO",,85,"McClure, Jerry RS FR/TR",,,,,,,
WR-Z,11,"Bennett, Nate SR/TR",,4,"Brown IV, Louis JR/TR",,,,,,,,,,
WR-F,3,"Poke, Ja'Shaun RS SR/TR",,19,"Napier, Jordan RS FR",,14,"Wesley, Phillippe RS JR",,81,"Welsh, Mikey RS SO",,21,"McRee, Heath FR",
LT,78,"Borjon, Joseph RS JR/TR",,70,"Jones, Christian RS JR",,65,"McMahan, Tyler JR/TR",,,,,,,
LG,53,"Murao, Myles RS JR/TR",,76,"Abdullah, Dean SR/TR",,,,,,,,,,
C,55,"Bryant, Brayden SR/TR",,68,"Silver, Ryan RS FR",,69,"Dutcher, Gage RS FR",,,,,,,
RG,63,"Ulugalu-Maseuli, Ross RS JR",,72,"Green, Nico SR/TR",,75,"Dirksen, Ryan RS JR/TR",,,,,,,
RT,74,"Williams, Nate SR/TR",,57,"Fuimaono, Saipale JR/TR",,62,"Holec, Kai FR",,,,,,,
TE,18,"Wolfe, Jude RS SR/TR",,87,"Harrison, Michael RS SR/TR",,89,"Tanner, Logan RS SO",,88,"Garretson, Gabe SO/TR",,90,"Ban, Arthur FR",
QB,5,"O'Neil, Danny FR",,10,"Duffy, AJ RS SO/TR",,9,"Crum, Kyle RS SO",,6,"Tupou'ata-Johnson, Javance RS FR",,16,"Threatt, Parker FR",
RB,23,"Christon, Kenan SR/TR",,15,"Cooper, Marquez RS SR/TR",,2,"Armstead, Jaylon RS SR",,29,"Davis, Cam RS JR",,7,"Sutton, Lucky RS SO",
DEF,,,,,,,,,,,,,,,
LDE,32,"Louis, Marlem SR/TR",,96,"Henderson, Ryan RS SO",,92,"Gucake, Malik JR/TR",,93,"Nassar, Brady SO",,,,
NT,99,"Alualu, Tupu SR/TR",,45,"Draeger, Wyatt RS SR",,94,"Tuioti, Teivis RS SR/TR",,,,,,,
DT,97,"Dalton, Darrion RS JR",,91,"Mitchell, Keion RS JR",,40,"Clay, Krishna JR/TR",,90,"Benjamin, Sam RS SO/TR",,,,
RDE,30,"Oliver, Dominic RS JR",,47,"White, Trey RS SO",,31,"Badie, Jared RS SO/TR",,33,"Larry, Ezekiel SO/TR",,,,
WLB,5,"Chambliss, Owen RS FR/TR",,58,"Moon, Cody RS SR/TR",,42,"Anderson, Brady RS JR",,59,"Niu, Danny FR",,34,"Harrington, Dean FR",
MLB,21,"Letuli, Tano SO/TR",,56,"Herman, DJ RS JR",,44,"Moretti, Kyle JR/TR",,54,"Sinz, Jake RS FR",,52,"Kendricks, Jayden RS SO",
STUD,17,"McCuin, Deshawn RS SR/TR",,24,"Hunter, Josh RS SO",,15,"Beasley, Tayvion RS SO/TR",,12,"Magee, Jatavious RS JR",,,,
LCB,1,"Johnson, Chris JR",,16,"Whitmore, Jelani RS SR",,29,"Escano, Arnold RS JR/TR",,23,"Buxton, Isaiah FR",,13,"Beyer, Tayten FR",
SS,6,"Butler, Eric JR",,7,"Nimmo Jr., William RS SR/TR",,36,"Williams, Prince FR",,,,,,,
FS,9,"Staley, Dalesean JR/TR",,11,"Coffey III, JD SR/TR",,22,"Garrison, Max RS SO",,27,"McLaughlin, Jelani RS FR",,41,"Berman, Jakson RS SO/TR",
RCB,0,"Phillips, Bryce SR/TR",,10,"Walker, Bennett SR/TR",,35,"Hamlet, Xavier RS JR/TR",,26,"Goynes, Joshua RS JR",,37,"Mitchell, Jason FR",
ST,,,,,,,,,,,,,,,
PT,13,"Pastula, Tyler SR/TR",,49,"Ramirez, Zechariah RS SO",,39,"Herranen, Eeemil JR/TR",,,,,,,
PK,46,"Plascencia, Gabriel SR/TR",,20,"Lopez, Nick RS SR/TR",,14,"Clegg, Nick FR",,,,,,,
KO,46,"Plascencia, Gabriel SR/TR",,20,"Lopez, Nick RS SR/TR",,14,"Clegg, Nick FR",,,,,,,
LS,50,"Wintermeyer, Ryan SR",,64,"Chavez, Tyson RS SO",,60,"Poulson, Connor FR",,,,,,,
H,13,"Pastula, Tyler SR/TR",,49,"Ramirez, Zechariah RS SO",,,,,,,,,,
PR,83,"Shaw, Mekhi RS SR",,15,"Cooper, Marquez RS SR/TR",,,,,,,,,,
KR,3,"Poke, Ja'Shaun RS SR/TR",,23,"Christon, Kenan SR/TR",,,,,,,,,,
