Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
San Jose State Spartans,,,,,,,,,,,,,,,
WR-X,11,"Lockhart, Justin RS SR/TR",,17,"Hoch, Cooper RS FR",,18,"Higgins, Keynan RS FR",,30,"Berkeley, Assani RS JR",,,,
WR-Z,2,"Hurry, TreyShun SO/TR",,12,"Miller, Malikhi RS SR",,24,"Macaluso, Sebastian RS JR/TR",,,,,,,
WR-SL,3,"Nash, Nick RS SR",,15,"Coleman, Matthew RS SO",,21,"Collins, Kayden RS SO",,6,"Gardner, Roy RS FR/TR",,,,
LT,70,"Williams, Malik RS JR/TR",,75,"Harbert, Joseph RS SO",,63,"Brown, Mitchell FR",,,,,,,
LG,69,"Taliauli, Uluakinofo RS SO",,62,"Balestrieri, Nathan RS FR",,,,,,,,,,
OC,60,"Mesa, Hudson RS JR",,67,"Davison, Kai RS JR",,65,"DeRosa Jr., Denaris RS SO",,,,,,,
RG,61,"Talavou, Marist RS SR/TR",,73,"Kapoi, Laakea RS SO/TR",,,,,,,,,,
RT,72,"Hale, Nate RS FR",,77,"Griskey, Luke RS FR",,,,,,,,,,
TE,81,"Stewart, Jacob JR/TR",,86,"Loving-Black, Skylar RS SR/TR",,83,"Kopa-Kaawalauole, Kamaehu RS FR",,85,"Canaan, Jackson RS JR",,,,
QB,8,"Brown, Emmett RS SO/TR",,5,"Eget, Walker RS JR",,9,"Butterfield, Jay RS JR/TR",,,,,,,
RB,0,"Chalk IV, Floyd JR/TR",,23,"Bates, Jabari RS SO",,,,,,,,,,
DEF,,,,,,,,,,,,,,,
DE,23,"Stearns, Justin RS SO",,94,"Hola, Mata RS JR/TR",,96,"Reed, Pau JR/TR",,,,,,,
NT,42,"Toia, Soane SR",,91,"Likio, Quincy SR/TR",,,,,,,,,,
DT,48,"Roney, Dejon JR",,50,"Faga, Gafa JR/TR",,93,"Kolokihakaufisi, Soane JR/TR",,,,,,,
LOLB,26,"Powell, Ethan JR",,97,"Norwood, John RS SO",,,,,,,,,,
LILB,44,"Cobbs, Jordan RS SR",,34,"Lee, Dylan RS FR",,,,,,,,,,
RILB,10,"Pollard, Jordan JR",,19,"McNeal-Franklin, Noah RS JR/TR",,35,"Rogers, Charles RS SR/TR",,,,,,,
ROLB,41,"Latu, Taniela SR/TR",,33,"Hoeft, Malakai JR/TR",,,,,,,,,,
LCB,25,"Dansby, Michael JR",,43,"Bainer, Jalen RS JR",,,,,,,,,,
SS,17,"Reese, Zavion RS JR",,5,"Turner-Gooden, Larry RS SO/TR",,29,"Apalit-Williams, Jalen RS JR",,,,,,,
FS,1,"Rahimi, Robert SR/TR",,20,"Revis, Isiah RS JR/TR",,,,,,,,,,
RCB,2,"Harvey, DJ RS JR/TR",,39,"Womack, Caleb RS SO",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,49,"Carrizosa, Trent RS SO/TR",,39,"Beslagic, Dino RS SO",,,,,,,,,,
PK,11,"Halvorsen, Kyler SR/TR",,99,"Brown, Mathias FR",,,,,,,,,,
KO,11,"Halvorsen, Kyler SR/TR",,99,"Brown, Mathias FR",,,,,,,,,,
LS,46,"Fadelli, Matthew JR/TR",,59,"Salom, Davis RS JR",,,,,,,,,,
H,49,"Carrizosa, Trent RS SO/TR",,39,"Beslagic, Dino RS SO",,,,,,,,,,
PR,2,"Harvey, DJ RS JR/TR",,15,"Coleman, Matthew RS SO",,,,,,,,,,
KR,23,"Bates, Jabari RS SO",,,,,,,,,,,,,
