Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
South Alabama Jaguars,,,,,,,,,,,,,,,
WR-X,13,"Ivory, Javon RS SR/TR",,6,"Woods, Micah RS JR/TR",,15,"Sandgren, Shamar SR/TR",,9,"Scott, Jeremy FR",,,,
WR-Z,1,"Voisin, Devin RS SR",,81,"Webb, Jeremiah RS SR/TR",,11,"Eager, Anthony RS FR",,,,,,,
WR-H,2,"Pritchett, Jamaal SR",,18,"Woodyard, Keyshawn RS JR",,27,"Campbell, Tylen RS SO/TR",,,,,,,
LT,79,"Davis, Jordan RS JR/TR",,73,"Foster-Allen, Daniel RS JR/TR",,,,,,,,,,
LG,69,"Jerido, Kenton RS SO",,74,"Gavin, Reid JR",,,,,,,,,,
C,55,"Preciado, Malachi RS SO/TR",,59,"Williams, Sam RS JR",,66,"Taylor, Lucas RS SO/TR",,,,,,,
RG,51,"Buys, Reed RS SR/TR",,52,"Ward, John RS FR",,,,,,,,,,
RT,77,"Carney, Malachi RS SO",,56,"Griffin, Adrian RS FR",,,,,,,,,,
TE,8,"Thomas-Jones, DJ SR/TR",,89,"Bench, Andrew RS SR/TR",,86,"Justice, Todd RS SR",,82,"Thomas, Trent RS FR",,19,"Gibbs, Rod SO/TR",
QB,7,"Lopez, Gio RS FR",,4,"Davenport, Bishop RS SO/TR",,16,"Hollins, Jared FR",,14,"Nezat, Brett RS JR/TR",,12,"Jones, Jacob RS FR/TR",
RB,0,"McReynolds, Braylon RS SO",,3,"Bullock, Kentrel JR/TR",,28,"Celestine, Iverson RS JR/TR",,22,"Martin, PJ RS FR",,21,"Durr, Jarvis RS FR",
DEF,,,,,,,,,,,,,,,
BAN,20,"Brooks, Lamondre RS JR",,21,"Norman, Jordan RS FR",,95,"Durgan, Jalyn JR/TR",,,,,,,
NT,99,"Thomas, Wy'Kevious RS SR",,45,"Smith IV, Ed RS JR",,18,"Moss Jr., RJ RS FR",,,,,,,
DT,55,"Strong Jr., Maurice GR",,90,"Johnson Jr., Carlos SR",,91,"Jennings, Nathan FR",,,,,,,
WOLF,10,"Washington, Aakil RS JR/TR",,17,"McBride Jr., Courtney SR/TR",,48,"Williams, Jordan RS FR",,36,"Felton IV, William FR",,,,
MIKE,32,"Myrick, Blayne RS SO",,28,"McKenzie, Darius RS JR/TR",,15,"Caldwell, Chrystyile RS SO",,,,,,,
STING,27,"Forsha, Gavin RS JR/TR",,11,"Hughes, Dalton JR",,53,"Sibley, Emauri RS SO/TR",,26,"Shattuck, Parker FR",,,,
FCB,1,"Fletcher, Ricky JR",,8,"Scruggs, Jordan RS JR/TR",,34,"Buchanan, Jordan RS SO/TR",,,,,,,
ROVER,2,"Voisin, Jaden RS SR",,6,"Miller, Wesley RS SO/TR",,3,"Hyatt Jr., Rickey RS JR/TR",,,,,,,
FS,7,"Webb Jr., Lardarius RS JR/TR",,31,"Harris, Mike RS JR/TR",,9,"Singleton, Trent RS SO/TR",,,,,,,
BCB,12,"Neely, Reggie RS JR/TR",,4,"Gamble, Dallas RS SR",,,,,,,,,,
HUSKY,13,"Wallace Jr., Christopher JR",,16,"Dillard, Brian RS SR/TR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,87,"Martin, Jack RS SR/TR",,40,"Pulkkinen, Aleksi SO",,,,,,,,,,
PK,99,"Marjan, Laith RS JR/TR",,35,"Little, Davis FR",,94,"DiBoyan, Hamilton RS FR",,,,,,,
KO,99,"Marjan, Laith RS JR/TR",,35,"Little, Davis FR",,94,"DiBoyan, Hamilton RS FR",,,,,,,
LS,42,"Zaccaro, Anthony RS JR/TR",,44,"Turner, Baxter RS FR",,,,,,,,,,
H,87,"Martin, Jack RS SR/TR",,40,"Pulkkinen, Aleksi SO",,,,,,,,,,
PR,2,"Pritchett, Jamaal SR",,,,,,,,,,,,,
KR,3,"Bullock, Kentrel JR/TR",,0,"McReynolds, Braylon RS SO",,,,,,,,,,
