Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
South Carolina Gamecocks,,,,,,,,,,,,,,,
WR-X,8,"Harbor, Nyck SO",,7,"Larvadain, Gage SR/TR",,13,"Mangrum, Payton RS SR",,85,"Adams, CJ RS FR",,,,
WR-Z,15,"Campbell, Dalevon RS SR/TR",,19,"Jacobs, Vandrevius RS FR/TR",,9,"Doty, Luke RS SR",,82,"Caldwell, Elijah RS FR",,,,
WR-SL,3,"Bennett Jr., Mazeo FR",,14,"Brown, Jared RS JR/TR",,21,"Russell, Tyshawn SO",,,,,,,
LT,74,"Thompson, Josiah FR",,51,"Babalade, Tree SO",,54,"Pringle, Kam FR",,,,,,,
LG,52,"Bell, Kamaar GR/TR",,55,"Moore, Jakai GR",,66,"Walters, Mac RS SO",,,,,,,
C,53,"Lee, Vershon RS SR",,76,"Simpkins III, Torricelli RS SR/TR",,73,"Brubaker, Ryan RS SO",,,,,,,
RG,78,"Baugh, Trovon SO",,58,"Anderson, Markee RS FR",,67,"Sweigart, Chase RS SO",,,,,,,
RT,75,"Henry, Cason RS SO",,60,"Parks, Aaryn RS SR/TR",,,,,,,,,,
TE,6,"Simon, Joshua GR/TR",,87,"Hunt, Brady RS JR/TR",,44,"Brown II, Maurice SO",,20,"Smith, Michael FR",,84,"Elksnis, Nick RS JR/TR",
QB,16,"Sellers, LaNorris RS FR",,4,"Ashford, Robby RS SR/TR",,11,"Beville, Davis GR/TR",,10,"Reno, Dante FR",,25,"Francis, Jimmy FR",
RB,5,"Sanders, Raheim SR/TR",,27,"Adaway III, Oscar GR/TR",,0,"McDowell, Juju SR",,22,"Howell, Jawarn SO/TR",,23,"Braswell, Djay SO",
DEF,,,,,,,,,,,,,,,
DE,6,"Stewart, Dylan FR",,55,"Edmond, Gilber RS SR/TR",,11,"Davis, Elijah SR/TR",,12,"Geer, Jatius RS JR/TR",,,,
NT,95,"Huntley, Alex RS SR",,93,"Barrett, Nick SR",,99,"Jules, DeAndre GR/TR",,,,,,,
DT,91,"Hemingway, Tonka GR",,90,"Sanders, T.J. RS JR",,44,"Goodwine, Monkell RS JR/TR",,,,,,,
EDGE,5,"Kennard, Kyle RS SR/TR",,46,"Thomas Jr., Bryan JR",,9,"Umeozulu, Desmond SO",,,,,,,
MLB,0,"Williams, Debo RS SR/TR",,17,"Knight Jr., Demetrius GR/TR",,32,"Kaba, Mohamed RS SR",,,,,,,
WLB,22,"Martin-Scott, Bam GR/TR",,18,"Kamara, Bangally RS SR/TR",,14,"Willis, Jaron RS SO/TR",,,,,,,
LCB,3,"Fortune, O'Donnell RS SR",,20,"Collier, Judge SO",,16,"Solomon, Jalewis FR",,,,,,,
SS,7,"Emmanwori, Nick JR",,29,"Spaulding, David GR/TR",,27,"Ford, King-Demenian RS SR",,,,,,,
FS,1,"Smith, DQ JR",,33,"Mack III, Buddy GR/TR",,,,,,,,,,
RCB,4,"Swain, Vicari RS FR",,8,"Floyd, Emory RS SO",,,,,,,,,,
NB,24,"Kilgore, Jalon SO",,23,"Kilgore, Gerald RS SO/TR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,39,"Kroeger, Kai RS SR",,24,"Love, Mason FR",,,,,,,,,,
PK,24,"Love, Mason FR",,40,"Herrera, Alex GR",,42,"Lester, Daniel RS SO",,,,,,,
KO,24,"Love, Mason FR",,40,"Herrera, Alex GR",,42,"Lester, Daniel RS SO",,,,,,,
LS,36,"Rogers, Hunter RS SR",,46,"Rasmussen, Cole RS SR/TR",,49,"Franke, Jordan RS FR",,29,"Yocum, Gunnar FR",,,,
H,39,"Kroeger, Kai RS SR",,45,"Joyce, William RS JR",,,,,,,,,,
PR,7,"Larvadain, Gage SR/TR",,24,"Kilgore, Jalon SO",,14,"Brown, Jared RS JR/TR",,,,,,,
KR,0,"McDowell, Juju SR",,21,"Russell, Tyshawn SO",,,,,,,,,,
