Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
South Florida Bulls,,,,,,,,,,,,,,,
WR-X,7,"Brown-Stephens, Michael GR/TR",,15,"Kelly, Tyree SO",,80,"Porter, Joshua FR",,,,,,,
WR-Z,2,"Yaseen, Abdur-Rahmaan GR/TR",,1,"Hardeman, Josh RS SR/TR",,81,"Singleton, Keshaun RS FR",,82,"Parks, Arkese FR",,,,
WR-SL,38,"Atkins, Sean GR",,6,"Simmons, Naiem SR/TR",,19,"Smith, JeyQuan RS FR",,0,"Winton, Brandon FR",,,,
LT,70,"Perry, RJ RS SR/TR",,78,"Wilty, Jack RS JR/TR",,54,"Carter, Braden FR",,,,,,,
LG,56,"Skinner, Cole SO",,75,"Kilfoyl, Andrew RS JR",,55,"Jenkins, James RS FR",,,,,,,
C,65,"Lofton, Mike RS SR/TR",,72,"Best, Cole RS JR",,58,"Lawrence, TJ FR",,,,,,,
RG,51,"Herring, Zane RS SR/TR",,74,"Bowie, Deonte RS JR/TR",,66,"Morman, Teriyan FR",,,,,,,
RT,62,"Bowman, Derek RS SR/TR",,76,"Milovac, Nikola RS FR",,77,"Major, Tyreek FR",,,,,,,
TE,18,"Wolff, Weston RS JR/TR",,88,"Singletary, Payten RS SR/TR",,87,"Greenwald, Gunnar SR",,11,"Echols, Jonathan FR",,,,
QB,17,"Brown, Byrum RS SO",,3,"Archie, Bryce RS SO/TR",,13,"Carter, Israel RS FR",,14,"Tate, Marcelis FR",,,,
RB,5,"Wright, Nay'Quan GR/TR",,8,"Joiner, Kelley GR",,9,"Keith, Ta'Ron SR/TR",,10,"Isaac, Alvon FR",,20,"Johnson, Jaylen RS FR",
DEF,,,,,,,,,,,,,,,
DE,14,"Williams II, Michael RS SO",,6,"Hickman, Immanuel GR/TR",,50,"Exume, Dinellson FR",,91,"Jenkins, Ryan FR",,,,
NT,0,"Blue-Eli, Doug RS JR/TR",,90,"Hawthorne, Decarius RS SR/TR",,44,"Williams, Jacquez RS SO",,97,"Grant, Jahari FR",,,,
DT,99,"Cheney, Rashad GR/TR",,3,"Gooden, Bernard RS JR/TR",,51,"Exume, Chenellson FR",,,,,,,
EDGE,4,"Vaughn, Jason GR",,11,"Harris, D.J. RS JR/TR",,30,"Singleton, Ira FR",,18,"Smiley, Levi FR",,33,"Mosley, Ashton FR",
MLB,24,"Harris, Mac RS SR",,8,"Gordon IV, DJ GR/TR",,17,"Hill, Rodney FR",,57,"Byrd, Devon FR",,,,
WLB,7,"Shuler, Jhalyn GR/TR",,19,"Pettway, Jamie RS SR/TR",,16,"Long, Langston GR/TR",,53,"Hamilton, Zavier FR",,,,
LCB,9,"Brown, Aamaris SR/TR",,2,"Ward, Tavin RS SO",,20,"Austin, Brent JR/TR",,27,"Campbell, Cameron FR",,,,
SS,21,"Stokes, Jaelen RS JR",,12,"Byard, Tawfiq RS FR",,15,"Gaskin, Fred FR",,,,,,,
FS,5,"Berryhill, Caqavouis GR",,10,"Augustin, D'Marco SR/TR",,26,"Dalias, Jermaine FR",,,,,,,
RCB,1,"Knox, Ben GR",,22,"Rucker, De'Shawn RS JR/TR",,29,"Platt, Deylen FR",,,,,,,
NB,13,"Banks, Kajuan JR/TR",,28,"Lee, Jarvis SO",,32,"Chenault, James FR",,,,,,,
ST,,,,,,,,,,,,,,,
PT,36,"Stokes, Andrew SR",,31,"Stainton, Pierse RS SO",,,,,,,,,,
PK,39,"Cannon, John RS JR",,7,"Gramatica, Nico FR",,40,"Ippolito, Ty RS FR",,,,,,,
KO,39,"Cannon, John RS JR",,7,"Gramatica, Nico FR",,40,"Ippolito, Ty RS FR",,,,,,,
LS,52,"Dubuc, Trey RS FR",,95,"Cates, Garrett JR/TR",,,,,,,,,,
H,16,"Bolduc, Ryan RS SO",,36,"Stokes, Andrew SR",,,,,,,,,,
PR,38,"Atkins, Sean GR",,6,"Simmons, Naiem SR/TR",,,,,,,,,,
KR,8,"Joiner, Kelley GR",,,,,,,,,,,,,
Reserves,,,,,,,,,,,,,,,
RES,,,,,,,,,,,,,,,
INJ,12,"Alexis, Jaden RS JR/TR",,4,"Powell, K'wan RS JR",,,,,,,,,,
