Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Southern Miss Golden Eagles,,,,,,,,,,,,,,,
WR-X,11,"Dalton, Davis RS SO",,6,"Butler, Javieon SO",,16,"Keyes, TK FR",,,,,,,
WR-Z,7,"Thomas, Dakota RS JR/TR",,13,"Jackson, Dannis GR/TR",,9,"Simmons, Larry RS SO/TR",,,,,,,
WR-H,1,"Mims, Tiaquelin JR",,2,"Pittman, Chandler SR",,14,"Buckley, Keyshawn RS JR/TR",,23,"Schwing, Jack RS FR",,,,
LT,61,"Cavazos Jr., Gabe RS JR/TR",,71,"Welch, Tanner RS FR",,75,"Carruth, Hastings RS SO/TR",,76,"Edwards, Larry FR",,,,
LG,54,"Conti, Zack SR/TR",,55,"Pollard, Klabron RS SO",,77,"Cryer, Jo FR/TR",,,,,,,
C,58,"Lawson, Drew RS JR",,74,"Rogers, Luke RS FR",,,,,,,,,,
RG,78,"Lucas, Dontae GR/TR",,50,"Saxton, Wil RS SO",,,,,,,,,,
RT,56,"Nunnery, Greg JR/TR",,59,"Hayes, Chris RS FR",,52,"Bumgarner, Ethan RS JR/TR",,,,,,,
TE,8,"Reid, Justyn SO",,85,"Heath, Kyirin JR/TR",,88,"Bedford, Terron JR/TR",,15,"Jesiolowski, Reed FR",,89,"Hughes, Pax RS FR",
QB,18,"Rodemaker, Tate RS JR/TR",,3,"Crawford, Ethan SO",,12,"White, John FR",,19,"Foster, Shade RS JR/TR",,17,"McCormick, Kyle RS SO",
RB,0,"Clark, Rodrigues RS SR/TR",,5,"Clay, Kenyon RS SO",,24,"Washington, Jalen FR",,20,"Gray, JQ RS FR",,,,
DEF,,,,,,,,,,,,,,,
DE,94,"Booth, Kristin SR",,37,"Thomas Jr., Eric SR/TR",,45,"Bryant, Caleb RS FR/TR",,43,"Owens, Jalen FR",,98,"Fuavai, Iliyas RS SO",
NT,36,"Lewis, Brodarius SR/TR",,51,"Roland, Demeco RS SR/TR",,95,"Lowery, Zay FR",,,,,,,
DT,96,"Williams, Jalen RS SR/TR",,97,"Cooley, Armondous RS JR/TR",,93,"Moore, Caleb FR",,90,"Adams, Miles FR",,,,
JACK,8,"Clemons, Jalil RS SR/TR",,14,"Lewis, Jameer JR/TR",,23,"Johnson, Ryan RS SR/TR",,25,"Henry, Tre'Mon RS FR",,40,"Moore, Khalid RS SO/TR",
MLB,15,"Sims, Ja'Len RS SR/TR",,1,"Baker, Desmyn RS SR/TR",,38,"Edwards, Zion JR/TR",,19,"Gregory, Arian RS JR",,,,
WLB,17,"Pinkney, Tre RS SR/TR",,9,"Cage, Kolbe RS JR/TR",,33,"Sledge, Avery RS SO/TR",,24,"Johnson, Jacob RS FR",,35,"Jones, Chris FR",
FCB,13,"James, Will RS FR/TR",,7,"Franks, Zay RS JR",,28,"Chaney, Vernorrius RS SO/TR",,,,,,,
SS,5,"Jones, Jay SR",,46,"Johnson, Jordan JR/TR",,16,"Myers, Braxton RS FR/TR",,30,"Jones, Miles RS FR",,,,
FS,3,"Sabbatini, Elijah RS SO/TR",,7,"Puckett, Hayes RS JR",,12,"McNeal, Ques SR/TR",,22,"Willis, Sentario RS FR",,,,
BCB,2,"Caraway Jr., Micheal SR/TR",,0,"Toles, Brendan RS JR",,26,"Miller, Damion FR",,,,,,,
NB,6,"Lawrence, Dylan RS SR/TR",,27,"Kelly, Dante RS FR/TR",,20,"Knox, Cameron RS SO",,,,,,,
ST,,,,,,,,,,,,,,,
PT,30,"Lofton, Bryce RS SR/TR",,48,"Edmiston Jr., Bart SO/TR",,,,,,,,,,
PK,98,"Stein, Andrew RS SR",,86,"Stewart, Luke FR",,,,,,,,,,
KO,41,"Gibbs, Connor SO",,98,"Stein, Andrew RS SR",,48,"Edmiston Jr., Bart SO/TR",,,,,,,
LS,39,"Milliron, Brennen RS SR/TR",,32,"Burns, Ryder RS FR",,,,,,,,,,
H,30,"Lofton, Bryce RS SR/TR",,48,"Edmiston Jr., Bart SO/TR",,,,,,,,,,
PR,1,"Mims, Tiaquelin JR",,,,,,,,,,,,,
KR,1,"Mims, Tiaquelin JR",,,,,,,,,,,,,
Reserves,,,,,,,,,,,,,,,
RES,,,,,,,,,,,,,,,
INJ,64,"Barnes, Kyron JR",,99,"Mackey, Cameron RS FR",,,,,,,,,,
