Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Stanford Cardinal,,,,,,,,,,,,,,,
WR-X,13,"Ayomanor, Elic RS SO",,82,"Raines, Jayson RS JR",,83,"Harris, Jackson RS FR",,,,,,,
WR-Z,10,"Mosley V, Emmett FR",,0,"Reuben, Mudia JR",,84,"Cisse, Ismael RS FR",,,,,,,
WR-SL,24,"Bachmeier, Tiger SO",,3,"Farrell, Bryce GR",,40,"Thompson, Jason JR",,,,,,,
LT,78,"Baklenko, Luke SO",,76,"Leyrer, Jack RS JR",,,,,,,,,,
LG,61,"Mayberry, Trevor SR/TR",,69,"Maikkula, Jake RS SO",,,,,,,,,,
C,57,"Rogers, Levi RS SR",,,,,,,,,,,,,
RG,55,"Pale, Simione SO",,72,"Uke, Austin RS JR",,,,,,,,,,
RT,71,"McLaughlin, Connor RS SR",,67,"Anderson, Fisher RS SO",,,,,,,,,,
TE,86,"Roush, Sam JR",,85,"Taylor, Shield RS JR",,41,"Waiss, Griffin RS JR/TR",,89,"Ungar, Lukas RS SR",,46,"Holt, Chico RS FR/TR",
QB,14,"Daniels, Ashton JR",,8,"Lamson, Justin RS JR/TR",,2,"Brown, Elijah FR",,9,"Jackson, Myles RS FR",,17,"Mirer, Charlie RS SO",
RB,26,"Irvin, Sedrick SO",,15,"Butler, Ryan JR/TR",,34,"Hampton, Champ RS FR",,36,"Washington, Kenaj RS SO",,,,
DEF,,,,,,,,,,,,,,,
LOLB,23,"Bailey, David JR",,14,"Aybar, Wilfredo RS JR",,,,,,,,,,
NT,91,"Patterson, Clay GR/TR",,40,"Phillips, Tobin GR",,97,"Rowell, Zach RS SO",,,,,,,
DT,94,"Franklin, Anthony RS JR",,98,"Buckey, Zach RS JR",,,,,,,,,,
ROLB,11,"Tafiti, Tevarua RS SO",,44,"Cooper, Ernest RS SO",,,,,,,,,,
MLB,8,"Sinclair, Tristan GR",,43,"Galvan, Jahsiah RS SO/TR",,30,"Dubre, Ese RS JR",,,,,,,
WLB,0,"Bernadel, Gaethan SR/TR",,35,"Rose, Matt RS SO",,,,,,,,,,
LCB,6,"Wright, Collin RS SO",,31,"Morris, Aaron SO",,,,,,,,,,
SS,32,"Leigber, Mitch RS JR",,22,"Ojarikre, Ché RS FR",,,,,,,,,,
FS,21,"Edwards, Scotty RS SO",,5,"Green, Jay JR/TR",,,,,,,,,,
RCB,4,"Manley, Zahran GR",,28,"Richardson, Cam FR",,,,,,,,,,
NB,17,"Frausto-Ramos, Jshawn SO",,27,"Porter, Omari GR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,37,"Flintoft, Aidan SO",,15,"Weselman, Connor RS JR",,,,,,,,,,
PK,13,"Kenney, Emmet RS JR",,92,"Seidler, AJ FR",,,,,,,,,,
KO,13,"Kenney, Emmet RS JR",,92,"Seidler, AJ FR",,,,,,,,,,
LS,93,"Warford, Peyton JR/TR",,47,"Chavez, Alejandro RS SO",,,,,,,,,,
H,15,"Weselman, Connor RS JR",,37,"Flintoft, Aidan SO",,,,,,,,,,
PR,3,"Farrell, Bryce GR",,,,,,,,,,,,,
KR,3,"Farrell, Bryce GR",,40,"Thompson, Jason JR",,,,,,,,,,
