Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Syracuse Orange,,,,,,,,,,,,,,,
WR-X,12,"Ross-Simmons, Justus JR/TR",,7,"Meeks, Jackson SR/TR",,82,"Gill Jr., Darrell SO",,,,,,,
WR-Z,8,"Haynes, Zeed RS FR/TR",,5,"Hatcher, Umari RS JR",,18,"Ross, Emanuel FR",,,,,,,
WR-SL,2,"Pena, Trebor RS JR",,80,"Thomas, Ja'Meer FR",,,,,,,,,,
LT,57,"Weatherspoon, Da'Metrius RS JR/TR",,73,"Miller, Joshua RS FR/TR",,,,,,,,,,
LG,74,"Bradford, Jakob RS SR/TR",,78,"Cruz, Joe RS SO",,71,"Moeolo, Lysander RS JR/TR",,,,,,,
C,50,"Reed, J'Onre SR/TR",,55,"Ilaoa, Josh SR",,54,"Hornsby, Codie RS JR/TR",,,,,,,
RG,72,"Petry, Mark RS SR/TR",,70,"Cruz Jr., Enrique RS JR",,,,,,,,,,
RT,77,"Washington, Savion RS JR/TR",,79,"Wohlabaugh Jr., David RS JR/TR",,75,"Mack, Trevion RS FR",,,,,,,
TE,19,"Gadsden II, Oronde RS JR",,89,"Villari, Dan RS JR/TR",,86,"Clement, David SO",,0,"Mang, Maximilian SR",,,,
QB,6,"McCord, Kyle SR/TR",,9,"Johnson Jr., Michael RS SR/TR",,16,"Del Rio-Wilson, Carlos RS JR/TR",,4,"Williams, Jakhari FR",,,,
RB,1,"Allen, LeQuint JR",,23,"Willis, Yasin FR",,24,"Nixon, Will RS JR/TR",,36,"James, Malachi FR",,,,
DEF,,,,,,,,,,,,,,,
LDE,10,"Diggs, Fadil SR/TR",,30,"Simmons, Chase RS JR",,,,,,,,,,
LDT,4,"Wilson Jr., Dion RS SR/TR",,99,"Fuentes-Cundiff, Elijah RS JR",,52,"Ingraham, Braylen RS SR/TR",,,,,,,
RDT,94,"Jobity Jr., Kevin JR",,88,"Watson, Maraad FR",,92,"Perry, Rashard SO",,,,,,,
RDE,11,"Jaquez Jr., Denis JR",,18,"Omopariola, David RS FR",,9,"Hastings, Isaiah RS SO/TR",,,,,,,
WLB,15,"McDonald, Derek RS JR",,6,"Heard, James RS FR/TR",,,,,,,,,,
MLB,2,"Wax, Marlowe SR",,22,"Moultrie-Goddard, Zyian RS FR",,12,"Sparrow, Anwar RS JR",,,,,,,
FCB,23,"Grant, Devin JR/TR",,7,"Barnes Jr., Marcellus FR",,31,"Washington Jr., Marcus RS SO/TR",,,,,,,
FS,0,"Chestnut, Duce RS JR/TR",,29,"Buxton III, Berry RS JR/TR",,19,"Perry, Cornell RS SO",,,,,,,
BS,5,"Clark, Alijah SR/TR",,17,"Martin, Jalil RS SO/TR",,26,"Long Jr., Braheem FR",,,,,,,
BCB,3,"Lewis, Clarence SR/TR",,1,"Bellamy, Jayden RS SO/TR",,32,"Delaine, Greg RS SO",,,,,,,
STAR,8,"Barron, Justin SR",,21,"Gould, Jaeden RS SO/TR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,41,"Stonehouse, Jack RS JR/TR",,15,"Denaburg, Brady JR",,,,,,,,,,
PK,15,"Denaburg, Brady JR",,98,"Oh, Jadyn RS FR",,96,"Kennedy, Jackson RS JR/TR",,,,,,,
KO,15,"Denaburg, Brady JR",,98,"Oh, Jadyn RS FR",,96,"Kennedy, Jackson RS JR/TR",,,,,,,
LS,46,"Callahan, Tom RS SR/TR",,61,"Stangle, Ethan RS SO",,90,"Zuhr, Jacob RS JR/TR",,,,,,,
H,41,"Stonehouse, Jack RS JR/TR",,10,"Davis, Braden RS SO/TR",,,,,,,,,,
PR,2,"Pena, Trebor RS JR",,36,"James, Malachi FR",,,,,,,,,,
KR,2,"Pena, Trebor RS JR",,36,"James, Malachi FR",,82,"Gill Jr., Darrell SO",,,,,,,
