Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
TCU Horned Frogs,,,,,,,,,,,,,,,
WR-X,3,"Williams, Savion SR",,87,"Nowell, Blake RS SR",,,,,,,,,,
WR-Z,88,"McAlister, Eric RS JR/TR",,6,"Wright, Dylan RS SR/TR",,,,,,,,,,
WR-SL,7,"Richardson, JP SR/TR",,13,"Everhart, Major RS SO",,11,"Earle, JoJo SR/TR",,,,,,,
LT,58,"Harris, Bless RS SR/TR",,56,"Taylor-Whitfield, Ben SO",,,,,,,,,,
LG,60,"Bennett, Cade RS JR/TR",,55,"Strickland, Remington RS JR/TR",,,,,,,,,,
C,52,"Brockermeyer, James RS JR/TR",,51,"Deery, Coltin JR/TR",,,,,,,,,,
RG,62,"Bruno, Carson RS JR/TR",,77,"Rochester, Robby RS JR/TR",,,,,,,,,,
RT,71,"Nichols, Mike RS SR",,54,"Harris, Quinton RS SO",,,,,,,,,,
TE,9,"Dabney, Drake SR/TR",,81,"Curtis, Chase RS SR/TR",,0,"Rogers, DJ RS JR",,,,,,,
QB,10,"Hoover, Josh RS SO",,19,"Seals, Ken RS JR/TR",,1,"Hejny, Hauss FR",,,,,,,
RB,4,"Cook, Cam SO",,2,"Sanders, Trey RS SR/TR",,17,"Battle, Trent RS JR",,,,,,,
DEF,,,,,,,,,,,,,,,
DE,97,"Oyewale, Paul RS SO",,54,"Osafo-Mensah, NaNa RS SR/TR",,94,"Ibukun-Okeyode, Micheal RS SO",,,,,,,
NT,91,"Mitchell, Tymon RS SR/TR",,95,"Deal, Markis RS FR",,,,,,,,,,
DT,90,"Fox, Caleb SR/TR",,42,"Chapman, Zachary RS FR",,,,,,,,,,
WLB,11,"Deal, Devean RS JR/TR",,9,"Brooks, Marcel SR/TR",,44,"McDonald, Cooper SR/TR",,,,,,,
MLB,3,"Elarms-Orr, Kaleb RS JR/TR",,0,"Banks Jr., Shad SR/TR",,19,"Bax, Jonathan SO",,,,,,,
SLB,4,"Obiazor, Namdi SR/TR",,57,"Hodges, Johnny RS JR/TR",,12,"Cooks Jr., Terrence RS JR/TR",,,,,,,
LCB,13,"Broughton, JaTravis SR/TR",,6,"James, LaMareon SR/TR",,26,"Glover, Vernon SO",,,,,,,
SS,23,"Toney Jr., Richard RS JR/TR",,2,"Johnson, Jamel SO",,25,"Oliver, Jaise RS SR/TR",,,,,,,
FS,21,"Clark, Bud RS JR",,29,"Smith, Cam SR/TR",,,,,,,,,,
RCB,24,"Helm, Avery SR/TR",,7,"Canada, Channing RS JR/TR",,,,,,,,,,
NB,1,"Camara, Abe SR/TR",,22,"Lester, Jordan RS FR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,31,"Craw, Ethan JR/TR",,97,"Black, Easton RS SO",,,,,,,,,,
PK,34,"Lemmermann, Kyle FR",,99,"McCashland, Nate RS FR",,,,,,,,,,
KO,34,"Lemmermann, Kyle FR",,99,"McCashland, Nate RS FR",,,,,,,,,,
LS,42,"Matiscik, Brent RS SR",,,,,,,,,,,,,
H,31,"Craw, Ethan JR/TR",,97,"Black, Easton RS SO",,,,,,,,,,
PR,7,"Richardson, JP SR/TR",,11,"Earle, JoJo SR/TR",,,,,,,,,,
KR,13,"Everhart, Major RS SO",,15,"Palmer, Nate FR",,,,,,,,,,
