Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Temple Owls,,,,,,,,,,,,,,,
WR-X,80,"Baines, Zae RS JR",,1,"Stewart, Ian GR/TR",,43,"Sprague, Cole RS SO/TR",,,,,,,
WR-Z,10,"Wright, Dante GR/TR",,19,"Jones, Antonio SR/TR",,39,"Madden, Kyle RS JR",,,,,,,
WR-SL,86,"Irvin, Xavier SO",,17,"Adams, John RS JR",,82,"Collins, Elias RS SO",,44,"Johnson, Kian RS FR",,,,
LT,75,"Watson, Luke SO",,73,"Lindberg, Linus JR/TR",,70,"Siani, Melvin RS FR",,,,,,,
LG,52,"King, Eric RS FR",,62,"Faminu, James GR/TR",,51,"Palu, Mausa JR/TR",,,,,,,
C,57,"Mains, Grayson RS SO/TR",,66,"Smith, Chris RS JR/TR",,,,,,,,,,
RG,79,"Quarshie, Wisdom GR",,54,"Pruitt, Jackson RS SO",,,,,,,,,,
RT,56,"Terry, Kevin RS FR",,77,"Barajas, Diego RS JR/TR",,,,,,,,,,
TE,81,"Morris, Landon RS JR/TR",,95,"Clark, Reese RS SO",,88,"Clarke, Peter SO",,87,"Della Pesca, James GR",,,,
QB,11,"Brock, Forrest RS JR/TR",,12,"Simon, Evan RS JR/TR",,14,"Douglas, Tyler RS FR",,15,"Dietrich, Chris FR",,,,
RB,31,"Littleton, Antwain RS JR/TR",,24,"Smith, Joquez SO",,22,"Washington, Tyrei JR/TR",,20,"Wilson, E.J. SR/TR",,,,
DEF,,,,,,,,,,,,,,,
DE,91,"Stewart, Cam'Ron RS JR/TR",,58,"Kromah, Sekou JR/TR",,35,"Whitaker, Tyrese RS FR",,,,,,,
NT,96,"Jean, Latrell RS SR/TR",,90,"Greene, Conlan SO",,,,,,,,,,
DT,97,"Haye, Allan RS JR/TR",,88,"Morris, Demerick GR",,56,"Miles, K.J. RS SO/TR",,,,,,,
JACK,30,"Thomas, Tra RS JR/TR",,34,"Black, Diwun GR/TR",,,,,,,,,,
MLB,22,"Stuart, Eric JR/TR",,17,"Lepolo, Tyler JR/TR",,15,"Wright, T.K. RS SO/TR",,,,,,,
WLB,10,"King, Tyquan RS JR/TR",,23,"Santiago, Antwone RS SO",,11,"Woodbury Sr., D.J. SR",,,,,,,
OWL,26,"Smith-Marsette, Ihsim RS FR",,21,"Lewis, Jaylen RS SO/TR",,,,,,,,,,
LCB,27,"Deravil, Elijah GR/TR",,20,"Johnson, Jamel RS SO/TR",,12,"Sweeting, Darrell RS FR",,,,,,,
SS,19,"Keaton, Andreas SR/TR",,14,"Frye, Louis RS JR/TR",,,,,,,,,,
FS,29,"Morton, Javier RS JR/TR",,42,"Powell, Zyil RS FR",,,,,,,,,,
RCB,13,"Richardson, Torey RS SR/TR",,24,"Osueke, Ben SR/TR",,16,"Owens, DeVonta JR/TR",,,,,,,
ST,,,,,,,,,,,,,,,
PT,37,"Atton, Dante SO/TR",,,,,,,,,,,,,
PK,91,"Trujillo, Maddux SR/TR",,,,,,,,,,,,,
KO,98,"Hardin, Carl RS FR",,,,,,,,,,,,,
LS,36,"McIlquham, Andrew RS JR/TR",,38,"Noonan, Brylan RS JR/TR",,,,,,,,,,
H,37,"Atton, Dante SO/TR",,,,,,,,,,,,,
PR,10,"Wright, Dante GR/TR",,,,,,,,,,,,,
KR,19,"Jones, Antonio SR/TR",,20,"Wilson, E.J. SR/TR",,,,,,,,,,
