Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Texas Longhorns,,,,,,,,,,,,,,,
WR-X,7,"Bond, Isaiah JR/TR",,5,"Wingo, Ryan FR",,13,"Livingstone, Parker FR",,,,,,,
WR-Z,2,"Golden, Matthew JR/TR",,1,"Cook II, Johntay SO",,14,"Butler, Aaron FR",,80,"Dubose, Freddie FR",,,,
WR-H,11,"Bolden, Silas JR/TR",,0,"Moore Jr., DeAndre SO",,21,"Niblett, Ryan RS FR",,,,,,,
LT,78,"Banks Jr., Kelvin JR",,74,"Goosby, Trevor RS FR",,75,"Chatman, Jaydon RS FR",,,,,,,
LG,76,"Conner, Hayden SR",,72,"Umeozulu, Neto RS SO",,79,"Stroh, Connor RS FR",,,,,,,
C,65,"Majors, Jake RS SR",,62,"Robertson, Connor RS SO",,51,"Cruz, Daniel FR",,,,,,,
RG,52,"Campbell, DJ JR",,54,"Hutson, Cole JR",,70,"Kibble, Nate FR",,,,,,,
RT,56,"Williams, Cameron JR",,73,"Baker, Brandon FR",,67,"Agbo, Malik RS SO",,77,"Cojoe, Andre RS FR",,,,
TE,85,"Helm, Gunnar SR",,8,"Niblack, Amari JR/TR",,81,"Davis, Juan SR",,84,"Washington, Jordan FR",,83,"Shannon, Spencer RS FR",
QB,3,"Ewers, Quinn RS JR/TR",,16,"Manning, Arch RS FR",,15,"Owens, Trey FR",,,,,,,
RB,4,"Baxter, CJ SO",,23,"Blue, Jaydon JR",,26,"Wisner, Quintrevion SO",,9,"Gibson, Jerrick FR",,6,"Clark, Christian FR",
DEF,,,,,,,,,,,,,,,
LDE,91,"Burke, Ethan JR",,8,"Moore, Trey RS JR/TR",,19,"Umeozulu, Zina FR",,,,,,,
LDT,95,"Collins, Alfred SR",,98,"Savea, Tiaoalii SR/TR",,53,"Bryant, Aaron RS SO",,90,"Mitchell, Sydir RS FR",,,,
RDT,15,"Norton, Bill GR/TR",,45,"Broughton, Vernon RS SR",,99,"Lole, Jermayne GR/TR",,94,"Bledsoe, Jaray RS SO",,55,"Hills III, Melvin FR",
RDE,88,"Sorrell, Barryn SR",,1,"Finkley, Justice JR",,92,"Vasek, Colton RS FR",,,,,,,
WLB,33,"Gbenda, David RS SR",,37,"Blackwell Jr., Morice SR",,26,"Smith, Ty'Anthony FR",,,,,,,
MLB,0,"Hill Jr., Anthony SO",,18,"Lefau, Liona SO",,40,"Gullette, Derion RS FR",,,,,,,
SLB,8,"Moore, Trey RS JR/TR",,11,"Simmons, Colin FR",,46,"Akana, Tausili RS FR",,,,,,,
FCB,13,"Cole, Jay'Vion JR/TR",,9,"Holmes, Gavin SR/TR",,24,"Roberson, Warren RS FR",,28,"Wilson, Santana FR",,,,
FS,4,"Mukuba, Andrew SR/TR",,16,"Taaffe, Michael RS JR",,25,"McDonald, Jelani SO",,,,,,,
BS,2,"Williams Jr., Derek SO",,21,"Filsaime, Xavier FR",,23,"Johnson-Rubell, Jordon FR",,,,,,,
BCB,5,"Muhammad, Malik SO",,6,"Black, Kobe FR",,27,"Mack, Wardell FR",,,,,,,
STAR,7,"Barron, Jahdae SR",,3,"Guilbeau, Jaylon JR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,39,"Kern, Michael FR",,49,"Ratliff, Ian SO",,,,,,,,,,
PK,45,"Auburn, Bert RS JR",,15,"Stone, Will JR",,,,,,,,,,
KO,15,"Stone, Will JR",,45,"Auburn, Bert RS JR",,,,,,,,,,
LS,58,"St. Louis, Lance JR",,52,"Haver, Tate SO",,57,"Rizzi, Christian RS JR",,,,,,,
H,49,"Ratliff, Ian SO",,,,,,,,,,,,,
PR,11,"Bolden, Silas JR/TR",,1,"Cook II, Johntay SO",,0,"Moore Jr., DeAndre SO",,,,,,,
KR,2,"Golden, Matthew JR/TR",,11,"Bolden, Silas JR/TR",,23,"Blue, Jaydon JR",,7,"Bond, Isaiah JR/TR",,,,
