Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Texas State Bobcats,,,,,,,,,,,,,,,
WR-X,10,"Hobert, Joey SR/TR",,0,"Williams, Jaden SR/TR",,12,"Griffin, Jaylon RS SR/TR",,17,"Evans, Kylen FR",,,,
WR-Z,11,"Sparks, Beau SO/TR",,18,"Donley, Drew RS JR/TR",,88,"Anderson, Langston RS SR/TR",,14,"Martin, Jordan FR",,,,
WR-SL,2,"Wilson, Kole JR/TR",,1,"Dawn Jr., Chris SO",,27,"Webb, Kannon RS JR",,23,"Thornton, Junior FR",,,,
LT,76,"Jones, Nash SR/TR",,52,"Scott, Trenton RS JR",,68,"Burns, Sully RS SO/TR",,,,,,,
LG,64,"Strawn, Dorion RS JR/TR",,71,"Harkey, Alex RS JR/TR",,,,,,,,,,
C,77,"Todd, Chayse RS SR/TR",,66,"DeLeon, Justin RS FR",,74,"Langford, Ian SO/TR",,,,,,,
RG,73,"Lockette, Tellek JR/TR",,65,"Obigbo, Emeka RS JR/TR",,,,,,,,,,
RT,55,"Obigbo, Jimeto SR/TR",,75,"Badusi, Bami RS FR",,72,"Conner, David RS SO/TR",,,,,,,
TE,9,"Fox, Konner RS SR/TR",,16,"Smith, Blake RS JR/TR",,13,"Moore, Griffin RS SR/TR",,86,"Lyons, Titus RS JR/TR",,80,"Simpson, Jake RS FR",
QB,3,"McCloud, Jordan RS SR/TR",,15,"Martinez, RJ RS JR/TR",,8,"Jackson, Brad FR",,6,"Hatter, PJ RS FR",,20,"Philyaw, Lincoln FR",
RB,21,"Mahdi, Ismail JR/TR",,33,"Hankins, Deion RS SR/TR",,7,"Pare, Lincoln RS JR/TR",,4,"Burgess Jr., Torrance RS JR/TR",,5,"Jenkins, Jaylen JR/TR",
DEF,,,,,,,,,,,,,,,
DE,0,"Parker, Steven RS SR/TR",,6,"Landry, Jo'Laison RS FR",,15,"Bass, Brice SR/TR",,,,,,,
NT,8,"Coleman, Tavian SR/TR",,92,"Merritt, Alex RS SR/TR",,90,"Langi Jr., Amipeleasi RS SO/TR",,,,,,,
DT,3,"Webb, Terry SR/TR",,97,"Ratcliff, Dominique RS JR/TR",,99,"Washington, Kamren RS SO/TR",,,,,,,
VIPER,33,"Bell, Ben SR/TR",,11,"Wright, Deven SR/TR",,22,"Alexander, Kalil RS JR/TR",,,,,,,
MLB,13,"Nunnery, Mannie RS SR/TR",,2,"Harris, Max JR/TR",,18,"Mourning Jr., Derick RS JR/TR",,,,,,,
WLB,29,"Payne, Treylin JR/TR",,25,"Neal, James RS SR/TR",,14,"Haynes, Kenny RS SR",,,,,,,
LCB,7,"Mills, Chris RS SR/TR",,10,"Polk, Jordan RS SR/TR",,24,"Moore, Trez RS JR/TR",,23,"Atwood, Amarion RS FR",,,,
SS,19,"Culp, Kaleb SR/TR",,27,"Crosby, Bobby SR/TR",,28,"Williams, Tice FR",,,,,,,
FS,12,"Spears, Tory RS SR/TR",,20,"Harris, Justin RS SR/TR",,5,"Jackson, Darius RS SO/TR",,,,,,,
RCB,1,"Eaton, Joshua RS JR/TR",,21,"Grogan, Canden RS JR/TR",,16,"Thompson, Donte RS JR/TR",,,,,,,
STAR,4,"Edwards Jr., Alonzo SR/TR",,9,"Coleman, Caleb RS JR/TR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,38,"Nunez, David RS JR",,40,"Rau, Lars FR",,,,,,,,,,
PK,36,"Shipley, Mason RS JR/TR",,37,"Franke, Brendan RS JR/TR",,41,"Alvarado, Carlos SO/TR",,39,"Sunderland, Beckham JR",,,,
KO,37,"Franke, Brendan RS JR/TR",,36,"Shipley, Mason RS JR/TR",,41,"Alvarado, Carlos SO/TR",,39,"Sunderland, Beckham JR",,,,
LS,45,"Oehrlein, John RS SR/TR",,48,"Meunier, Daniel RS SR/TR",,,,,,,,,,
H,38,"Nunez, David RS JR",,40,"Rau, Lars FR",,,,,,,,,,
PR,2,"Wilson, Kole JR/TR",,10,"Hobert, Joey SR/TR",,,,,,,,,,
KR,21,"Mahdi, Ismail JR/TR",,2,"Wilson, Kole JR/TR",,,,,,,,,,
Reserves,,,,,,,,,,,,,,,
RES,,,,,,,,,,,,,,,
SUS,30,"Adeleye, Tunmise RS JR/TR",,,,,,,,,,,,,
