Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Troy Trojans,,,,,,,,,,,,,,,
WR-X,8,"Beason, Zeriah JR/TR",,1,"Parker, Landon RS SR/TR",,81,"Bruce, Robert RS JR/TR",,,,,,,
WR-Z,7,"Ross, Devonte JR",,82,"Thomas, Jackson RS FR",,84,"Chappelle, Caleb RS JR/TR",,,,,,,
WR-F,2,"Higgins, Peyton RS JR",,5,"Dortch, Mojo RS SO/TR",,83,"Epps, DJ RS SO",,,,,,,
LT,58,"Prather, Elijah RS FR",,77,"Bowden, Zak JR/TR",,,,,,,,,,
LG,75,"Hudson, Zerian JR/TR",,56,"Slayden, Carlos JR/TR",,,,,,,,,,
C,66,"Russ, Eli RS JR/TR",,50,"Stanley, Boaz RS SO/TR",,,,,,,,,,
RG,74,"King, Daniel SR/TR",,55,"Matthews, Tavon RS SR/TR",,,,,,,,,,
RT,71,"Gibson, Kyler RS SO",,70,"Fua'au, Casey JR/TR",,67,"Henry, Matt JR/TR",,,,,,,
TE,14,"Conner, Ethan SR/TR",,88,"Dalton, Brody RS JR/TR",,85,"Rogosch, Fabian RS SO",,86,"Worley, Jackson RS FR",,89,"Swartz, Trae JR/TR",
QB,9,"Crowder, Goose RS JR/TR",,10,"Kilcrease, Tucker RS SO",,12,"Caldwell, Matthew RS JR/TR",,11,"McCreary, Caleb FR",,16,"Wells, Montana RS FR/TR",
RB,3,"Taylor, Damien RS JR",,0,"Green, Gerald RS SR/TR",,4,"Williams, Jarris RS JR",,15,"Lovett, Jordan RS FR",,21,"Pearson, Trevor RS FR/TR",
DEF,,,,,,,,,,,,,,,
DE,0,"Cutts, Raymond RS SR/TR",,53,"McNeill, Jabril RS JR/TR",,16,"Griffin, Trashun FR",,52,"Johnson, ShuMond FR",,90,"Perry, Ty'Quarius RS FR",
NT,99,"Peterson, Julian RS JR",,98,"Fils-Aime, Jamel JR/TR",,96,"Mann, Dylan FR",,91,"Norwood, Kevin FR",,53,"Underwood, Cam'Ron FR",
DT,95,"Medina, Luis RS JR",,93,"Curry, Kam JR/TR",,45,"Kaba, Cheick JR/TR",,69,"Paramore, Jermaine FR",,97,"Reedy, Kenny RS SO/TR",
BAN,1,"Lee, Phillip RS JR",,5,"Williams, Jah-Mal RS JR/TR",,8,"Shaw, Eric RS JR/TR",,35,"Pegues, Malaki RS FR",,,,
WLB,7,"Stringer, Jordan RS JR",,4,"Jackson, Brendan SR/TR",,13,"Thompson, TJ JR/TR",,43,"Weaver, Kam FR",,,,
MLB,6,"Thomas, Terry RS JR",,2,"Cattledge, Steven RS JR/TR",,44,"Hodge, Luke RS SO",,20,"Campbell, Keyshawn RS FR",,,,
SPEAR,3,"Lafayette, Devin RS JR/TR",,18,"Perry, Jordan RS SO/TR",,11,"Starling, Darrell RS JR",,28,"Williams, AZ RS JR",,,,
LCB,9,"Yancey, Damaje SR/TR",,12,"Henry, Trent JR/TR",,36,"Hall, EJ FR",,40,"Thomas, JaQueraius JR/TR",,,,
SS,14,"Powell, Cecil RS SR/TR",,25,"Powe, Justin RS SO",,23,"Bradford, KC SO",,,,,,,
FS,39,"Conerly-Goodly, Ian JR/TR",,37,"Nelson, Daivon JR/TR",,24,"Carter, Rondell FR",,27,"Butler, John RS JR",,,,
RCB,21,"Green, LJ RS FR",,15,"James, Semaj JR/TR",,10,"Strait, Jabari JR/TR",,,,,,,
ST,,,,,,,,,,,,,,,
PT,48,"Cole, Robert SR/TR",,28,"Crenshaw, Evan JR/TR",,,,,,,,,,
PK,40,"Renfroe, Scott Taylor RS JR",,30,"Troemel, Nick RS FR",,33,"Theus, Gage RS JR/TR",,35,"Zuluaga, Max FR",,,,
KO,40,"Renfroe, Scott Taylor RS JR",,30,"Troemel, Nick RS FR",,33,"Theus, Gage RS JR/TR",,35,"Zuluaga, Max FR",,,,
LS,87,"Walls, Colton RS FR",,41,"Spain, Will RS JR/TR",,,,,,,,,,
H,48,"Cole, Robert SR/TR",,28,"Crenshaw, Evan JR/TR",,,,,,,,,,
PR,7,"Ross, Devonte JR",,2,"Higgins, Peyton RS JR",,5,"Dortch, Mojo RS SO/TR",,15,"Lovett, Jordan RS FR",,,,
KR,7,"Ross, Devonte JR",,2,"Higgins, Peyton RS JR",,5,"Dortch, Mojo RS SO/TR",,15,"Lovett, Jordan RS FR",,,,
