Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Tulane Green Wave,,,,,,,,,,,,,,,
WR-X,6,"Preston, Shazz RS SO/TR",,1,"Fleming, Dontae SR/TR",,11,"Mbanasor, Sidney RS FR/TR",,84,"Desjardins, Lucas RS JR",,,,
WR-Z,5,"Brown, Yulkeith SR/TR",,17,"Prean, Khai RS FR/TR",,81,"Besh, Luke RS JR",,16,"Mmahat, Garrett RS SO",,,,
WR-H,4,"Williams, Mario SR/TR",,83,"Bohanon, Bryce RS JR",,3,"Watts, Phat GR/TR",,39,"Evans, Trevor RS JR",,,,
LT,76,"Graham, Derrick RS JR/TR",,72,"Tuggle, Trey RS JR",,,,,,,,,,
LG,56,"Hurst, Shadre RS SO",,74,"Cannon, Landry RS FR",,,,,,,,,,
C,64,"Murphy, Vincent GR/TR",,58,"Thomas, Caleb RS SR",,62,"Fortson, Gabe RS FR/TR",,,,,,,
RG,68,"Remetich, Josh SR",,55,"Steward, Dominic FR",,,,,,,,,,
RT,69,"Green, Rashad RS SR",,,,,,,,,,,,,
TE,87,"Bauman, Alex JR",,9,"Brown, Reggie RS SR",,88,"Gunter, Blake RS SO",,85,"Miller, Anthony RS FR/TR",,,,
QB,7,"Thompson, Ty RS JR/TR",,12,"Horton, Kai RS JR",,10,"Mensah, Darian RS FR",,22,"Wigginton, Alex RS FR",,,,
RB,21,"Hughes, Makhi RS SO",,2,"Clayton-Johnson, Shaadie RS JR/TR",,20,"Barnes III, Arnold SO",,24,"Cornist, Trey RS FR",,,,
DEF,,,,,,,,,,,,,,,
DE,45,"Huntington, Adin SR/TR",,3,"Anderson, Angelo RS SR",,91,"Batiste, Deshaun RS FR/TR",,92,"Henderson, Gerrod RS SO",,,,
NT,94,"Hicks Jr., Eric RS SR",,95,"Friloux, Adonis RS SR",,93,"Champaigne, Elijah RS JR",,,,,,,
DT,0,"Jenkins, Patrick SR/TR",,70,"Hamilton, Kameron JR",,98,"Petersen, Parker RS JR",,,,,,,
BAN,35,"Fobbs-White, Matthew SO",,9,"Allen, Terrell SR/TR",,97,"Carter, Javon SR/TR",,44,"Lunz, Michael RS JR",,,,
WLB,13,"Grubbs, Tyler SR/TR",,4,"Rodgers, Chris SO/TR",,28,"Agu, Dickson RS FR",,36,"Eugene Jr., Mandel RS JR",,,,
MLB,99,"Machado, Jesus SR",,40,"Howard, Sam JR/TR",,41,"Williams, Makai SO",,,,,,,
ANCHO,7,"Ransaw, Caleb JR/TR",,26,"Laister, Shi'Keem RS SR",,43,"Rattan, Rishi RS SR",,12,"White, Javion FR",,,,
LCB,10,"Tillery, Lu SR/TR",,1,"Lewis, Jayden FR",,20,"Johnson, Jahiem RS FR",,33,"Williams II, Rodrek RS JR",,,,
SS,32,"Despanie, Bailey RS JR",,23,"Adams III, Kevin RS FR",,30,"Moore, Joshua RS FR",,,,,,,
FS,2,"Geiger, Jalen GR/TR",,29,"Tchienchou, Jack RS FR/TR",,38,"Moorer, Jared RS JR/TR",,,,,,,
RCB,8,"Edward, Jonathan SR/TR",,6,"Robinson, Micah JR/TR",,5,"Pleasant, Rayshawn RS SO",,39,"Kim, Brandon RS JR",,,,
ST,,,,,,,,,,,,,,,
PT,49,"Karoll, Will SO",,62,"Busch, Brice RS SO",,92,"Greenberg, Ethan RS SO",,34,"Hudlow, William RS FR",,,,
PK,35,"Barnes, Jacob RS SR/TR",,53,"Noel, Bobby RS JR",,0,"Durkin, Patrick FR",,63,"Head, Ethan FR",,,,
KO,35,"Barnes, Jacob RS SR/TR",,53,"Noel, Bobby RS JR",,0,"Durkin, Patrick FR",,63,"Head, Ethan FR",,,,
LS,57,"Hudak, Ethan RS SR",,67,"Peterson, Thomas RS SR/TR",,65,"Goodman, Andrew RS SO/TR",,,,,,,
H,49,"Karoll, Will SO",,62,"Busch, Brice RS SO",,92,"Greenberg, Ethan RS SO",,34,"Hudlow, William RS FR",,,,
PR,1,"Fleming, Dontae SR/TR",,,,,,,,,,,,,
KR,83,"Bohanon, Bryce RS JR",,,,,,,,,,,,,
