Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Tulsa Golden Hurricane,,,,,,,,,,,,,,,
WR-X,89,"Wright, Jack RS SR/TR",,35,"Smith, Mari RS FR",,,,,,,,,,
WR-Z,13,"Ballard, Jeremiah RS JR/TR",,7,"Steptoe, Zion RS SO/TR",,,,,,,,,,
WR-SL,18,"Benjamin, Kamdyn RS SR",,1,"Presley, Braylin JR/TR",,19,"Tempest, Grayson SO",,,,,,,
LT,74,"Waller, Jacob RS SO/TR",,70,"Stanton, Kaden RS FR/TR",,78,"Ademisoye, Daniel RS SO",,,,,,,
LG,54,"Young Bear, Walter RS JR",,66,"Morris, Will RS FR",,,,,,,,,,
C,65,"Burnett, Rey SR/TR",,52,"Carpenter, Kasen RS FR",,,,,,,,,,
RG,51,"Marks, Tautai Lio RS SR/TR",,56,"Christian, Colten FR",,,,,,,,,,
RT,50,"Aguilar, Ender RS JR/TR",,61,"Ringleb, Bennett RS FR",,,,,,,,,,
TE,47,"Hall, Ethan RS SR",,87,"McGary, Luke SO",,88,"Ford, Jackson FR",,,,,,,
QB,2,"Williams, Cardell RS SO",,11,"Francis, Kirk RS FR",,5,"Legas, Cooper GR/TR",,,,,,,
RB,23,"Watkins, Anthony RS SR/TR",,3,"Jackson, Bill RS JR",,25,"Avant, Lloyd FR",,,,,,,
DEF,,,,,,,,,,,,,,,
DE,55,"Ostroski, Owen RS JR",,32,"Malone, Vontroy RS SO",,94,"Lohrenz, Justin RS JR/TR",,,,,,,
NT,58,"Rich, Tyler RS FR",,97,"Reese, Brody RS JR/TR",,90,"Hjelle, Joe JR/TR",,,,,,,
DT,95,"Jackson Jr., R.J. SO",,72,"Newhouse, Tai RS SO",,92,"Williams, Amieh GR/TR",,,,,,,
JACK,20,"Jackson, Myles RS SR/TR",,26,"Neilsen, Zach RS SO",,42,"Lee, Jaxon FR",,,,,,,
MLB,22,"Thompson, Chris GR/TR",,19,"Potter, Gavin GR/TR",,34,"Wilson, Elijah RS FR",,,,,,,
WLB,21,"Marcheselli, Zach GR/TR",,35,"Turner, C.J. RS FR",,38,"Ryan, Stockton RS SO/TR",,,,,,,
LCB,11,"Jones, Demarco GR/TR",,5,"Parker, Keuan RS JR/TR",,,,,,,,,,
SS,10,"O'Keefe, Sean RS SR",,2,"Cannady, Jehlen RS SR/TR",,,,,,,,,,
FS,1,"Hodge, Dayne RS JR",,6,"Jones, Malachai RS SR",,,,,,,,,,
RCB,4,"Carlisle, Tyree RS SR/TR",,3,"Lewis, Champ RS SO/TR",,,,,,,,,,
NB,13,"Campbell, NuNu RS SO",,16,"Robinson, Devin RS FR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,29,"Davies, Angus SO",,32,"Stanford, Scott RS SO",,,,,,,,,,
PK,11,"Morgan, Seth GR/TR",,18,"Slaba, Michael RS SO",,95,"Guenthner, Evan RS FR",,,,,,,
KO,11,"Morgan, Seth GR/TR",,18,"Slaba, Michael RS SO",,95,"Guenthner, Evan RS FR",,,,,,,
LS,34,"Stone, Parker RS JR/TR",,46,"Matthews, Caleb RS JR",,,,,,,,,,
H,9,"Kittleman, Stephen RS JR",,32,"Stanford, Scott RS SO",,,,,,,,,,
PR,18,"Benjamin, Kamdyn RS SR",,6,"Jones, Malachai RS SR",,,,,,,,,,
KR,18,"Benjamin, Kamdyn RS SR",,1,"Presley, Braylin JR/TR",,,,,,,,,,
