Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
UAB Blazers,,,,,,,,,,,,,,,
WR-X,1,"Thomas, Amare SO",,13,"Holt-Bennett, Malachi SR/TR",,6,"Milliner, Corri RS FR",,,,,,,
WR-Z,0,"Hooks, Iverson RS SO",,9,"Buckhaulter, Brandon RS JR/TR",,,,,,,,,,
WR-A,8,"Shanks, Kam RS FR",,19,"Hawkins Jr., Brandon RS JR/TR",,,,,,,,,,
LT,66,"Hall, Jordan RS FR",,77,"Moore, Logan RS FR",,65,"Hadfield, Tennyson RS SO/TR",,,,,,,
LG,70,"Morgan, JonDarius RS JR/TR",,,,,,,,,,,,,
OC,72,"Wilson, Brady RS SR",,68,"Lepkowski, Adam RS JR",,,,,,,,,,
RG,71,"Yates, Quez RS SR/TR",,54,"Flournoy, Zaire RS JR",,,,,,,,,,
RT,79,"Bedosky, Trey RS SR",,78,"Jones, DJ SR/TR",,,,,,,,,,
TE,48,"Damous, Bryce RS SR/TR",,11,"Payne, Dallas RS SR/TR",,10,"McDonald, Terrell RS SR",,,,,,,
QB,4,"Zeno, Jacob RS SR/TR",,18,"Lyddy, Landry RS SO/TR",,12,"Barker, Harrison RS SR",,14,"Campbell, Trace RS SO/TR",,17,"Kitna, Jalen RS JR/TR",
RB,2,"Jacobs, Isaiah RS JR/TR",,29,"Beebe Jr., Lee RS SO",,5,"Witherspoon, Lee RS SR/TR",,7,"Goodwin, Armoni RS JR/TR",,,,
DEF,,,,,,,,,,,,,,,
DE,9,"Waller, Emmanuel SO",,32,"Gill, Joker RS SR/TR",,55,"Cook, Myles FR",,,,,,,
NT,92,"Penn, Kevin RS SR",,99,"Smalls, Eamon RS FR",,54,"Mosley, Kyle FR",,,,,,,
DT,11,"Cox, LeDarrius RS SR/TR",,44,"Merriweather, Miquon SO",,34,"Allen, Jonathan RS FR",,,,,,,
RUSH,18,"Johnson, Kendall SR/TR",,8,"Little, Desmond SR/TR",,2,"Odinjor, Ezra RS FR/TR",,,,,,,
WLB,6,"Roussaw Jr., Everett SO",,16,"Van Zandt, Jax RS SO/TR",,27,"Riles Jr., Jason RS JR",,,,,,,
MLB,15,"Moore, Michael RS SR/TR",,10,"Toussom, Eddy JR/TR",,,,,,,,,,
SLB,0,"Brothers, OC RS SR/TR",,25,"Smyre, James JR/TR",,40,"Goode, Charlie RS SO",,,,,,,
LCB,14,"Miles, Trey RS SO",,29,"McDaniel, T'sai RS JR",,,,,,,,,,
SS,3,"Thornton III, Ray RS SR/TR",,12,"Bryant, Sirad RS JR/TR",,,,,,,,,,
FS,5,"Bracy, Chris SO",,23,"Lee III, Ricky SO",,,,,,,,,,
RCB,1,"Dempsey, Colby RS SR",,35,"Ferguson, Jaylyn RS FR",,22,"Bashir, Nasir RS SO",,,,,,,
STAR,7,"Maddox, Adrian JR/TR",,20,"Brown, AJ RS SO",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,27,"Foley, Patrick RS JR/TR",,,,,,,,,,,,,
PK,39,"Delange, Jonah SO",,46,"Martin, Wyatt FR",,,,,,,,,,
KO,39,"Delange, Jonah SO",,46,"Martin, Wyatt FR",,,,,,,,,,
LS,47,"Moser, Caleb SO",,,,,,,,,,,,,
H,27,"Foley, Patrick RS JR/TR",,,,,,,,,,,,,
PR,8,"Shanks, Kam RS FR",,,,,,,,,,,,,
KR,8,"Shanks, Kam RS FR",,5,"Witherspoon, Lee RS SR/TR",,29,"Beebe Jr., Lee RS SO",,,,,,,
