Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
UCLA Bruins,,,,,,,,,,,,,,,
WR-X,7,"Sturdivant, J.Michael RS JR/TR",,21,"Staples, Ezavier RS JR",,15,"Pegan, Braden RS SO",,,,,,,
WR-Z,1,"Flores Jr., Rico SO/TR",,2,"Mokiao-Atimalala, Titus RS JR/TR",,,,,,,,,,
WR-SL,17,"Loya, Logan RS SR",,3,"Gilmer, Kwazi FR",,,,,,,,,,
LT,71,"Unije, Reuben RS SR/TR",,77,"Jeffers, Jaylan RS SR/TR",,75,"Schroller, Mark FR",,,,,,,
LG,74,"Holstege, Spencer RS SR/TR",,68,"Pulealii, Noah RS JR",,,,,,,,,,
C,54,"Carlin, Josh RS SR",,64,"Yoon, Sam RS SO",,,,,,,,,,
RG,73,"Makihele, Alani RS SR/TR",,69,"Akinshilo, Oluwafunto RS JR/TR",,70,"Walker, Caleb RS JR/TR",,,,,,,
RT,72,"DiGiorgio, Garrett RS JR",,52,"Carmody, Michael RS SR/TR",,56,"Tuikolovatu, Tavake RS FR",,,,,,,
TE,88,"Matavao, Moliki SR/TR",,87,"Pierre, Bryce GR/TR",,28,"Pedersen, Jack RS SO",,89,"Churich, Michael RS SR",,82,"Summa, Sam RS JR",
QB,4,"Garbers, Ethan RS SR/TR",,6,"Martin, Justyn RS SO",,11,"Griffin, Chase RS SR",,12,"Duncan, Luke RS FR",,9,"Davis, Dermaricus FR",
RB,25,"Harden, T.J. JR",,23,"Adkins, Anthony RS SR/TR",,22,"Jones, Keegan RS SR",,0,"Berger, Jalen RS SR/TR",,29,"Frias II, Anthony RS JR/TR",
DEF,,,,,,,,,,,,,,,
LDE,15,"Tuazama, Drew GR/TR",,96,"Acheampong, Collins RS FR/TR",,91,"Sullivan, Michael RS JR/TR",,,,,,,
NT,93,"Toia, Jay SR/TR",,95,"Havili Kaufusi, Sitiveni RS SR",,92,"Taupaki, Siale RS SR",,,,,,,
DT,99,"Williams, Keanu RS JR/TR",,44,"Aupiu, Devin RS JR/TR",,88,"Buckey, Grant RS FR",,,,,,,
RDE,97,"Busic, Jacob RS JR/TR",,94,"Seye, Cherif RS SR/TR",,48,"Price, Joquarri RS SR",,,,,,,
WLB,20,"Medrano, Kain RS SR",,30,"Vaughn, Joseph RS SR/TR",,17,"Woods, Jalen RS SO",,0,"Pellot, Donavyn RS FR",,,,
MLB,2,"Oladejo, Oluwafemi SR/TR",,21,"Vaughns, JonJon RS SR",,10,"Kaho, Ale RS SR/TR",,,,,,,
LCB,6,"Davies, Jaylin RS JR/TR",,9,"Moore, Kaylin SR/TR",,36,"Swift, Joshua RS SR",,,,,,,
SS,11,"Henderson, Ramon RS SR/TR",,14,"Stephens, Clint RS SO",,39,"Jones, R.J. RS FR",,,,,,,
FS,4,"Addison, Bryan RS SR/TR",,22,"Stewart, Croix RS SO",,26,"Thomas, Zeke RS SR/TR",,,,,,,
RCB,3,"Kirkwood, Devin SR",,1,"Clark, Kanye RS FR",,18,"Marshall, Jadyn RS SO",,,,,,,
NB,7,"Wallace, K.J. RS SR/TR",,19,"Justice, D.J. RS JR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,91,"Richter, Brody RS SO/TR",,45,"Barry, Chase RS SO",,,,,,,,,,
PK,94,"Bhaghani, Mateen SO/TR",,39,"Glessner, Blake RS SR/TR",,97,"Firebaugh Jr., Joseph RS JR/TR",,,,,,,
KO,39,"Glessner, Blake RS SR/TR",,94,"Bhaghani, Mateen SO/TR",,97,"Firebaugh Jr., Joseph RS JR/TR",,,,,,,
LS,46,"Drosos, Travis RS SR/TR",,50,"Abdul-Wahab, Salem RS SO/TR",,98,"Middleton, Trent RS FR",,90,"MacNeal, Marcus RS FR",,,,
H,91,"Richter, Brody RS SO/TR",,,,,,,,,,,,,
PR,17,"Loya, Logan RS SR",,,,,,,,,,,,,
KR,22,"Jones, Keegan RS SR",,,,,,,,,,,,,
Reserves,,,,,,,,,,,,,,,
RES,,,,,,,,,,,,,,,
INJ,81,"Habermehl, Hudson RS SR",,58,"Smith III, Gary RS SR/TR",,31,"Murrell, Deshun RS JR",,41,"Edwards III, Larry RS FR",,,,
