Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
UNLV Rebels,,,,,,,,,,,,,,,
WR-X,1,"Cain, Casey RS JR/TR",,13,"Thompson Jr., Corey SO",,15,"Rogers, Landon RS JR/TR",,,,,,,
WR-Z,11,"White III, Ricky RS SR/TR",,0,"Bradley, Jaden RS JR/TR",,2,"McDaniel, Damien FR",,,,,,,
WR-F,21,"De Jesus, Jacob SR/TR",,8,"Conerly, Timothy RS SR/TR",,10,"Irvin Jr., DeAngelo SO",,,,,,,
LT,75,"Ambuehl, Anton RS JR",,72,"Thomas, Will RS SO/TR",,,,,,,,,,
LG,74,"St. John, Jalen RS SR/TR",,60,"Norris, Sammy RS JR/TR",,,,,,,,,,
C,65,"Hasz, Jack SR/TR",,61,"Keating III, Graham RS JR",,,,,,,,,,
RG,79,"Boyd, Austin SO",,78,"Su'a, Mathyus SR/TR",,54,"Rosas, Anthony RS JR",,,,,,,
RT,70,"Shanks, Tiger RS SR",,68,"Ahboah, Jayden RS JR/TR",,,,,,,,,,
TE,19,"Ballungay, Kaleo RS SR",,87,"Earls, Christian JR/TR",,44,"Moore, Christian RS SR/TR",,43,"Beasley II, Jae FR",,83,"Haswell, Cooper RS FR",
QB,3,"Sluka, Matthew RS SR/TR",,6,"Williams, Hajj-Malik RS SR/TR",,7,"Friel, Cameron RS JR",,18,"Lenhoff, Lucas RS FR",,14,"Ochoa, Gael FR",
RB,9,"Thomas, Jai'Den SO",,4,"Allen, Michael JR/TR",,20,"James, Kylin SR/TR",,5,"Burrell, Greg FR",,22,"Green, Devin FR",
DEF,,,,,,,,,,,,,,,
LDE,2,"Doyle Jr., Antonio RS SR/TR",,99,"Conley Jr., Keith RS SR/TR",,28,"Camac, Fisher RS SO",,,,,,,
NT,91,"Webb, Cooper SR/TR",,44,"Muavesi, Waisale RS SR",,,,,,,,,,
DT,98,"Martinson, Tatuo RS SR/TR",,95,"Whitmore, Alexander SR/TR",,93,"Conti, Lucas RS FR",,,,,,,
RDE,50,"Dixon, Jalen RS SR",,26,"Egbase, Ose RS SR",,,,,,,,,,
WLB,8,"McDuffie, Marsel RS JR",,53,"Alualu-Tuiolemotu, Blesyng RS FR",,58,"Eubanks, Jordan RS JR/TR",,,,,,,
MLB,7,"Woodard, Jackson RS SR/TR",,16,"Powell, Mani JR/TR",,46,"Scott, Brennon RS SR",,,,,,,
STAR,9,"Elad, Jett RS SR/TR",,6,"Vessel, Jeremiah SO/TR",,27,"Moore, Kela FR",,,,,,,
LCB,5,"Oliver, Cameron SR",,0,"Grimes, Tony RS SR/TR",,,,,,,,,,
SS,3,"Baldwin, Johnathan SR",,13,"Ware, Jarvis RS SR/TR",,,,,,,,,,
FS,1,"Catalon, Jalen RS SR/TR",,24,"DeCambra, Kodi RS FR/TR",,10,"Fulton, Tre FR",,,,,,,
RCB,4,"Chavis, Malik RS SR/TR",,14,"Grigsby, Jah'Von RS JR/TR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,90,"Nichols, Marshall RS JR/TR",,85,"Melzer, Konner JR/TR",,,,,,,,,,
PK,45,"Chittenden, Caden FR",,83,"Meono, Andre RS JR/TR",,43,"Villela, Ramon RS FR",,,,,,,
KO,83,"Meono, Andre RS JR/TR",,45,"Chittenden, Caden FR",,43,"Villela, Ramon RS FR",,,,,,,
LS,59,"Hardan, Walker RS SR",,36,"Lisk, Ben RS JR/TR",,,,,,,,,,
H,90,"Nichols, Marshall RS JR/TR",,85,"Melzer, Konner JR/TR",,,,,,,,,,
PR,21,"De Jesus, Jacob SR/TR",,10,"Irvin Jr., DeAngelo SO",,,,,,,,,,
KR,21,"De Jesus, Jacob SR/TR",,10,"Irvin Jr., DeAngelo SO",,,,,,,,,,
