Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
USC Trojans,,,,,,,,,,,,,,,
WR-X,2,"Robinson, Duce SO",,10,"Hudson, Kyron RS JR",,15,"Richardson, Jaden RS SR/TR",,,,,,,
WR-Z,81,"Ford, Kyle RS SR/TR",,8,"Lane, Ja'Kobi SO",,,,,,,,,,
WR-SL,1,"Branch, Zachariah SO",,9,"Fair, Jay JR/TR",,19,"Jordan, Xavier FR",,,,,,,
WR-SL,6,"Lemon, Makai SO",,84,"Ross, Charles RS SR/TR",,44,"Zamora, Josiah RS JR",,,,,,,
LT,72,"Paige, Elijah RS FR",,74,"Tauanuu, Justin FR",,,,,,,,,,
LG,70,"Pregnon, Emmanuel RS SR/TR",,75,"Talalele, Amos RS FR",,,,,,,,,,
C,79,"Monheim, Jonah RS SR",,67,"O'Connor, Kilian JR",,59,"Banuelos, Micah RS FR",,,,,,,
RG,77,"Noa, Alani SO",,66,"Quinones, Gino RS SR",,,,,,,,,,
RT,76,"Murphy, Mason RS JR",,73,"Raymond, Tobias RS FR",,58,"Ta'aga, Kalolo FR",,,,,,,
TE,87,"McRee, Lake RS JR",,24,"Tabaracci, Carson RS SO/TR",,88,"Eldridge, Kade RS FR",,85,"Lyons, Walker FR",,18,"Olsen, Joey FR",
QB,7,"Moss, Miller RS JR",,14,"Maiava, Jayden RS SO/TR",,27,"Gebbia, Dylan RS FR/TR",,17,"Jensen, Jake RS JR/TR",,29,"Stupin, Jack FR",
RB,4,"Marks, Woody RS SR/TR",,0,"Joyner, Quinten SO",,22,"Peterson, A'Marion RS FR",,21,"Jackson, Bryan FR",,,,
DEF,,,,,,,,,,,,,,,
DE,6,"Lucas, Anthony JR/TR",,58,"Tuliaupupu, Solomon RS SR",,49,"Fountain, Kameryn FR",,,,,,,
NT,90,"Alexander, Bear JR/TR",,91,"Meyer, Gavin RS SR/TR",,94,"Pepe, Kobe RS SR",,,,,,,
DT,99,"Clifton, Nate RS SR/TR",,56,"Hughes, Elijah SO",,98,"Thompkins, Devan RS SO",,,,,,,
RUSH,10,"Muhammad, Jamil RS SR/TR",,34,"Shelby, Braylan SO",,44,"Greene, Sam RS FR",,,,,,,
MLB,4,"Mascarenas-Arnold, Easton SR/TR",,9,"Davis, Raesjon SR",,23,"Stephens II, Desman FR",,,,,,,
WLB,13,"Cobb, Mason RS SR/TR",,18,"Gentry, Eric SR/TR",,26,"Newby, Elijah FR",,,,,,,
LCB,19,"Humphrey, John RS SR/TR",,16,"Brown, Prophet RS JR",,25,"Williams, Marcelles FR",,,,,,,
SS,0,"Arnold, Akili RS SR/TR",,8,"Branch, Zion RS SO",,15,"Beavers Jr., Anthony RS JR",,,,,,,
FS,7,"Ramsey, Kamari RS SO/TR",,27,"Shaw, Bryson RS SR/TR",,24,"Pierce, Christian SO",,,,,,,
RCB,14,"Covington, Jacobe RS SR/TR",,17,"Nicholson, DeCarlos RS SR/TR",,,,,,,,,,
NB,2,"Smith, Jaylin SR",,21,"Vance Jr., Greedy RS SR/TR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,16,"Czaplicki, Eddie SR/TR",,40,"Shirangi, Cameron RS SR/TR",,36,"Sanchez, Rey JR/TR",,,,,,,
PK,96,"Lantz, Michael RS SR/TR",,46,"Lynch, Denis RS JR",,95,"Robles, Tyler RS FR",,98,"White, Garth SR/TR",,48,"Sayeri, Ryon FR",
KO,96,"Lantz, Michael RS SR/TR",,46,"Lynch, Denis RS JR",,95,"Robles, Tyler RS FR",,98,"White, Garth SR/TR",,48,"Sayeri, Ryon FR",
LS,31,"Pepper, Hank RS JR/TR",,47,"McDonough, Devin JR/TR",,,,,,,,,,
H,16,"Czaplicki, Eddie SR/TR",,40,"Shirangi, Cameron RS SR/TR",,36,"Sanchez, Rey JR/TR",,,,,,,
PR,1,"Branch, Zachariah SO",,,,,,,,,,,,,
KR,1,"Branch, Zachariah SO",,6,"Lemon, Makai SO",,,,,,,,,,
Reserves,,,,,,,,,,,,,,,
RES,,,,,,,,,,,,,,,
INJ,29,"Crawford, Maliki RS FR",,,,,,,,,,,,,
