Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
UTEP Miners,,,,,,,,,,,,,,,
WR-X,1,"Goodman, Trey SR/TR",,12,"Gardere, Javoni RS SO/TR",,10,"Hurley, Kevin RS SR/TR",,,,,,,
WR-Z,8,"White, Emari RS JR/TR",,0,"Nickelberry, Ashton RS JR/TR",,88,"Seib, Luke RS SO",,,,,,,
WR-Y,3,"Smith, Jaden SR/TR",,6,"Odom, Kenny RS SO/TR",,27,"McWhorter, Miles RS SO/TR",,,,,,,
LT,65,"Wright, Isaiah SR/TR",,58,"Toney, Jaquan RS JR/TR",,52,"Whitehead, RJ JR/TR",,,,,,,
LG,60,"Immediato, Joseph RS JR",,70,"Matamoros, Luka FR",,,,,,,,,,
C,53,"Escobar, Ivan RS JR/TR",,62,"Riggs, Jake FR",,,,,,,,,,
RG,59,"Pitts III, Otis RS SR/TR",,57,"Wydra, Craig FR",,,,,,,,,,
RT,50,"Smith, Brennan RS JR/TR",,74,"Henry, Azizi RS JR",,,,,,,,,,
TE,17,"Ezinwa, Judah RS SO/TR",,82,"Vinson, Marcus JR/TR",,43,"Lopez, Julian RS SR",,87,"Collins, Martavious FR",,35,"Essih, Zachary RS SO",
QB,11,"McConnell, Cade RS JR/TR",,9,"Locklear, Skyler RS SO/TR",,7,"Smith, Shay FR",,19,"Pickles, JP FR",,16,"Southern, Michael FR",
RB,4,"Jackson, Jevon RS JR/TR",,22,"Jolly, Ezell RS FR",,20,"Triche, Daryon RS SO/TR",,21,"Taylor, Marquez RS FR/TR",,25,"Emory, Ashten FR",
MB,5,"Thomas, Kam RS JR/TR",,15,"Wren, Corey SR/TR",,,,,,,,,,
DEF,,,,,,,,,,,,,,,
DE,15,"Thompson, Bryton RS SR/TR",,32,"Goree, Devin SR/TR",,36,"Taylor, Ekow FR",,,,,,,
NT,99,"Tonga'uiha, Sione SR",,7,"Johnson, KD SR/TR",,92,"Warren, Quinzavious RS JR/TR",,,,,,,
DT,50,"Tafuna, Tevita RS SR/TR",,98,"Va'a, Logologo RS SO",,90,"Coker, Ashton FR",,,,,,,
BAN,0,"Westmoreland, Maurice SR/TR",,40,"Bibler, Chase SR/TR",,10,"Rapolla, Hunter SR/TR",,,,,,,
MLB,41,"Hopkins, Dorian GR/TR",,44,"Rayam, Jalen GR/TR",,30,"Dyman, Nate RS JR/TR",,,,,,,
WLB,5,"Dunson, Tray SR/TR",,29,"Brown-Turner, Dylan RS FR/TR",,42,"Hall, Jake SR/TR",,,,,,,
SPUR,22,"Allen, Josiah SR/TR",,4,"Williams, Dillion RS JR/TR",,28,"Jones, Brandon FR",,13,"Hunter, Jayce SR/TR",,,,
LCB,14,"Boyd-Matthews, Amier RS SO",,9,"Shelton, Jaylon RS JR/TR",,18,"Burris III, John RS JR",,,,,,,
SS,11,"Moore, Oscar SR/TR",,26,"Russell, Lantz RS JR/TR",,19,"Hullaby, Landon RS SO/TR",,,,,,,
FS,6,"Chapman, Kory SR/TR",,2,"Smith, Xavier RS SO/TR",,8,"Ray Jr., Michael JR/TR",,,,,,,
RCB,1,"Odums, AJ SR/TR",,16,"Green, Yessman SR/TR",,20,"Herring, Kam FR",,,,,,,
ST,,,,,,,,,,,,,,,
PT,29,"Jacklin, Adam RS FR/TR",,36,"Flabiano, Buzz RS SO",,,,,,,,,,
PK,36,"Flabiano, Buzz RS SO",,30,"Webb, Aiden FR",,97,"Bowman, Joe RS JR/TR",,38,"Scruggs, Evan FR",,,,
KO,36,"Flabiano, Buzz RS SO",,30,"Webb, Aiden FR",,97,"Bowman, Joe RS JR/TR",,38,"Scruggs, Evan FR",,,,
LS,37,"Tejada, Angelo SR",,39,"Hancock, Josh RS JR",,,,,,,,,,
H,37,"Tejada, Angelo SR",,,,,,,,,,,,,
PR,5,"Thomas, Kam RS JR/TR",,,,,,,,,,,,,
KR,5,"Thomas, Kam RS JR/TR",,26,"Harris, Caden RS FR",,,,,,,,,,
