Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
UTSA Roadrunners,,,,,,,,,,,,,,,
WR-X,88,"Clark, De'Corian SR",,84,"Sparkman, JJ SR/TR",,10,"Wilson, Jace RS SO",,,,,,,
WR-Z,19,"McCoy, Willie JR/TR",,15,"Carpenter, Chris SR/TR",,11,"Randle, Jaren RS JR",,,,,,,
WR-F,14,"McCuin, Devin SO",,18,"Amador II, David SO",,83,"Allen, DJ RS SO/TR",,,,,,,
LT,50,"Kruize, Buffalo SR/TR",,55,"Missouri, Kamar RS JR/TR",,67,"Baty, Walker RS JR",,,,,,,
LG,75,"Tatafu, Venly RS SR/TR",,78,"Miller, Jonah RS JR/TR",,,,,,,,,,
OC,66,"James, CJ RS SR/TR",,76,"Lapeze, Luke RS JR",,,,,,,,,,
RG,53,"Godinet, Cory RS JR/TR",,,,,,,,,,,,,
RT,77,"Hart, Makai RS SR/TR",,51,"Alvarado, Andrew RS JR/TR",,73,"Allen, Demetris RS SR",,,,,,,
TE-Y,84,"Cardenas, Oscar RS SR",,88,"Thomas, Houston RS SO",,80,"Dishman, Dan RS JR",,,,,,,
QB,13,"McCown, Owen RS SO/TR",,12,"Marburger, Eddie Lee RS JR",,,,,,,,,,
RB,31,"Barnes, Kevorian RS JR",,20,"Henry, Robert SR/TR",,24,"Griffin, Rocko RS JR/TR",,,,,,,
DEF,,,,,,,,,,,,,,,
DE,17,"Simon, Asyrus SR",,44,"Triplette, Ronald RS JR/TR",,91,"Shaw, Vic RS FR",,,,,,,
NT,90,"Brown, Brandon JR/TR",,95,"Clayton, Christian RS SR",,98,"Buxton, Jameian SO",,,,,,,
DT,94,"Evans, Joe SR/TR",,16,"Booker-Brown, Nick RS JR/TR",,99,"Leonard, Tai JR",,,,,,,
WLB,40,"Robinson, Jimmori RS SR/TR",,33,"Anyanwu, Nnanna RS SO/TR",,34,"Walley Jr., James RS FR",,,,,,,
JACK,88,"Ligon, Jamal SR",,32,"Jackson, Ian RS JR/TR",,41,"Lewis, Fred SR/TR",,,,,,,
MLB,10,"French, Martavius SR/TR",,46,"Randle, Brevin RS SR/TR",,43,"Brown, Kaleb RS SO",,,,,,,
MONEY,12,"Taylor, Donyai SR",,13,"Pewee, Owen RS SO",,19,"Wilkerson, Marcellus JR/TR",,,,,,,
LCB,11,"Frazier, Zah RS JR/TR",,28,"Morris, Zach JR/TR",,42,"Truehill, KJ RS SO/TR",,,,,,,
SS,21,"Robinson, Ken RS SR",,24,"Rainey, Jalen RS JR",,26,"Grays, Bryce RS SO/TR",,,,,,,
FS,29,"Davison, Elliott SR/TR",,39,"Lewis, Jermarius JR/TR",,0,"Wyrick, Jimmy RS JR/TR",,,,,,,
RCB,25,"Harris, Denver JR/TR",,32,"Martin, Davin RS FR",,80,"Pruneda, Alan JR/TR",,,,,,,
ST,,,,,,,,,,,,,,,
PT,25,"Hogan, Caile JR",,39,"Laing, Ethan RS JR",,,,,,,,,,
PK,82,"Allen, Chase RS JR/TR",,47,"Sandell, Tate RS SO",,92,"Petro, Michael RS FR",,,,,,,
KO,47,"Sandell, Tate RS SO",,82,"Allen, Chase RS JR/TR",,92,"Petro, Michael RS FR",,,,,,,
LS,52,"Collenback, Cade RS SR/TR",,51,"Phillips, Austin RS FR",,,,,,,,,,
H,25,"Hogan, Caile JR",,39,"Laing, Ethan RS JR",,,,,,,,,,
PR,15,"Carpenter, Chris SR/TR",,,,,,,,,,,,,
KR,15,"Carpenter, Chris SR/TR",,19,"McCoy, Willie JR/TR",,,,,,,,,,
