Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Utah State Aggies,,,,,,,,,,,,,,,
WR-X,1,"Royals, Jalen SR/TR",,8,"Page, Grant RS SO/TR",,5,"Tia, Otto RS JR",,25,"Riley, Quentin RS SO",,,,
WR-Z,9,"Bowman, Colby GR/TR",,11,"Davis, Kahanu RS JR/TR",,18,"Olsen, Jackson RS FR",,,,,,,
WR-H,14,"Hestera, Jack RS JR/TR",,23,"White, Kyrese GR/TR",,0,"Freeman IV, Robert JR/TR",,20,"Kjar, Tate FR",,82,"Christensen, Cole RS FR",
LT,56,"Motes, Cole RS SR",,57,"Andersen, Trey RS JR/TR",,76,"Jury, Camden FR",,,,,,,
LG,60,"Bowles, Wyatt GR",,72,"Maile, George RS SO/TR",,78,"Keele, Cole RS FR",,,,,,,
C,55,"Alo, Falepule SR",,75,"Radford, Bryce RS SO",,74,"Griffiths, Jarvis RS FR",,,,,,,
RG,65,"Motu'apuaka, Tavo RS SO",,62,"Maui, Aloali'i JR/TR",,73,"Migao, Elia RS JR",,61,"Iosua, K'leyone RS FR",,,,
RT,54,"Andersen, Teague RS SO",,77,"Boyd, Ethan RS JR/TR",,67,"Pond, Adam RS SO",,,,,,,
TE,87,"Lane, Broc GR",,83,"Sterzer, Josh SR",,86,"Monney, Will SO",,12,"Tuatagaloa, Chase RS SO",,33,"Brousseau, Grayson FR",
QB,7,"Petras, Spencer GR/TR",,16,"Barnes, Bryson RS JR/TR",,15,"Conover, Jacob RS JR/TR",,10,"Tiller, CJ RS FR/TR",,,,
RB,3,"Faison, Rahsul SR/TR",,2,"Briggs Jr., Robert JR",,24,"Floyd, Nick JR/TR",,21,"Turner, Herschel FR",,22,"Jameson, Derrick SO/TR",
DEF,,,,,,,,,,,,,,,
LDE,98,"Slone, Cian SR/TR",,45,"Migao, Enoka RS JR",,56,"Raass, Ioholani RS JR/TR",,41,"Nesmith, Carl JR/TR",,50,"Falatea, Lawrence RS JR/TR",
NT,48,"Tuiaki, Seni RS JR",,8,"Williams, Taz SR/TR",,95,"Jackson, Miguel SR/TR",,44,"Maile, Bo RS JR",,96,"Tupou, Manase FR",
DT,10,"Iniguez Jr., Gabriel RS JR/TR",,99,"Vaughn, Collin GR/TR",,90,"Bruce, Isaiah RS SO/TR",,94,"Lolohea, Ricky RS FR/TR",,91,"Bailey, Braydon JR/TR",
RDE,9,"Spires, Blaine RS SR/TR",,11,"Peterson, Gabe JR/TR",,5,"Dean, Marlin RS JR/TR",,40,"Andreasen, Zion RS FR",,59,"Holmes, William FR",
WLB,33,"Alford, Max RS SO",,39,"Pearson, Jadon GR/TR",,26,"Miller, John RS JR/TR",,20,"Joyce, Cole RS JR/TR",,29,"Wright, Nathan FR",
MLB,1,"Maye, Jon Ross GR/TR",,42,"Washington, Clyde GR/TR",,27,"Pili, Logan RS SO/TR",,14,"Olevao Jr., Bronson RS SO",,32,"Williams, Tanner FR",
LCB,17,"Dickerson, Avante RS JR/TR",,22,"Edwards, Mason JR/TR",,13,"Fisk, EJ JR/TR",,,,,,,
SS,24,"Vincent, Jordan SR/TR",,2,"Okeke, Omari GR/TR",,16,"Taylor, Terrell JR/TR",,31,"Sweat, Kadiyon RS FR",,28,"Kafentzis, Gio FR",
FS,6,"Larsen, Ike RS JR",,12,"Harris, Simeon JR/TR",,19,"Davis, Chase RS FR",,21,"McConico, Malik SO/TR",,34,"Slone, Teeg RS SO/TR",
RCB,4,"Graham II, DJ JR/TR",,3,"Drew, JD RS SO",,23,"Ugo, Courage JR/TR",,25,"Flores, Noah RS FR",,,,
NB,7,"Francois, Jaiden GR/TR",,15,"Union, Torren RS SR/TR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,63,"Kotsanlee, Stephen SR",,47,"Marks, Ryan RS SO",,,,,,,,,,
PK,89,"Nimrod, Elliott SR/TR",,88,"Cragun, Tanner RS FR/TR",,,,,,,,,,
KO,89,"Nimrod, Elliott SR/TR",,47,"Marks, Ryan RS SO",,,,,,,,,,
LS,49,"Garcia, Jacob GR",,52,"McDougall, Alexander RS FR",,,,,,,,,,
H,47,"Marks, Ryan RS SO",,63,"Kotsanlee, Stephen SR",,,,,,,,,,
PR,0,"Freeman IV, Robert JR/TR",,11,"Davis, Kahanu RS JR/TR",,2,"Briggs Jr., Robert JR",,,,,,,
KR,2,"Briggs Jr., Robert JR",,0,"Freeman IV, Robert JR/TR",,,,,,,,,,
Reserves,,,,,,,,,,,,,,,
RES,,,,,,,,,,,,,,,
INJ,70,"Sia, Jr RS FR",,,,,,,,,,,,,
