Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Utah Utes,,,,,,,,,,,,,,,
WR-X,3,"Singer, Dorian SR/TR",,9,"Alford, Damien SR/TR",,6,"Zipperer, Daidren RS FR",,,,,,,
WR-Z,10,"Parks, Money SR",,19,"Caldarella, Luca SR/TR",,,,,,,,,,
WR-R,5,"Pittman, Mycah RS SR/TR",,,,,,,,,,,,,
LT,71,"Lomu, Caleb RS FR",,76,"Williams, Zereoue RS JR",,,,,,,,,,
LG,73,"Togiai, Tanoa RS JR",,62,"Moea'i, Solatoa SO",,,,,,,,,,
C,68,"Kump, Jaren SR",,53,"Maea, Johnny SR",,,,,,,,,,
RG,52,"Mokofisi, Michael RS JR",,74,"Olson, Keith RS SO",,,,,,,,,,
RT,55,"Fano, Spencer SO",,59,"Kaumatule, Falcon RS SR",,,,,,,,,,
TE-Y,88,"Bentley, Dallen JR/TR",,85,"Ryan, Carsen JR/TR",,83,"Suguturaga, Miki RS SR",,,,,,,
TE-U,80,"Kuithe, Brant SR",,82,"King, Landen RS JR/TR",,84,"Lohner, Caleb SR/TR",,,,,,,
QB,7,"Rising, Cameron RS SR/TR",,11,"Wilson, Isaac FR",,,,,,,,,,
RB,2,"Bernard, Micah RS SR",,1,"Glover, Jaylon JR",,21,"Mitchell, Mike RS FR",,,,,,,
DEF,,,,,,,,,,,,,,,
LDE,81,"O'Toole, Connor SR",,40,"Fitzgerald, Paul RS SO/TR",,,,,,,,,,
LDT,58,"Tafuna, Junior SR",,95,"Vimahi, Aliki SR",,,,,,,,,,
RDT,57,"Tanuvasa, Keanu RS SO",,99,"Fotu, Tevita RS SR/TR",,77,"Pepa, Simote RS JR",,,,,,,
RDE,0,"Fano, Logan RS SO/TR",,7,"Fillinger, Van RS SR",,56,"Akana, Ka'eo RS SO",,,,,,,
ROVER,21,"Reid, Karene SR",,14,"Calvert, Josh RS SR/TR",,,,,,,,,,
MAC,12,"Fotu, Sione JR",,37,"Reynolds, Trey SO",,,,,,,,,,
STUD,8,"Barton, Lander JR",,24,"Anae, Moroni RS JR",,3,"Hall, Johnathan SO",,,,,,,
LCB,5,"Vaughn, Zemaiah SR",,4,"Calhoun, Cameron RS FR/TR",,30,"Randle Jr., John RS FR",,,,,,,
SS,11,"Gilman, Alaka'i RS SR/TR",,13,"Evans, Rabbit JR/TR",,,,,,,,,,
FS,31,"Ritchie, Nate JR",,15,"Johnson, Tao RS SO",,,,,,,,,,
RCB,1,"Johnson, Kenan RS SR/TR",,9,"Davis, Elijah RS SO",,,,,,,,,,
NB,2,"Snowden, Smith SO",,18,"Shemwell, Quimari FR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,34,"Bouwmeester, Jack SR/TR",,38,"Coleman, Trey FR",,,,,,,,,,
PK,36,"Becker, Cole SR/TR",,38,"Coleman, Trey FR",,,,,,,,,,
KO,36,"Becker, Cole SR/TR",,38,"Coleman, Trey FR",,,,,,,,,,
LS,50,"Greep, JT SR",,65,"Castor, Logan RS SO",,,,,,,,,,
H,34,"Bouwmeester, Jack SR/TR",,46,"Janish, Elliot RS JR/TR",,,,,,,,,,
PR,17,"Glover, Rayshawn SO/TR",,10,"Parks, Money SR",,,,,,,,,,
KR,10,"Parks, Money SR",,23,"Stanley, Dijon SO",,,,,,,,,,
Reserves,,,,,,,,,,,,,,,
RES,,,,,,,,,,,,,,,
INJ,3,"Damuni, Levani RS SR/TR",,,,,,,,,,,,,
