Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Vanderbilt Commodores,,,,,,,,,,,,,,,
WR-X,3,"Skinner Jr., Quincy SR",,1,"Wiley, Dariyan RS SR/TR",,87,"McVay, Joseph FR",,,,,,,
WR-Z,11,"Fouonji, Loic RS SR/TR",,15,"Dillon, Jeremiah RS SO/TR",,26,"Bell, Micah RS FR/TR",,,,,,,
WR-SL,0,"Sherrill, Junior SO",,5,"Hoskins, Richie RS JR/TR",,80,"Brown, Tristen FR",,,,,,,
LT,55,"Hansen, Gunnar RS JR",,73,"Clark, Charlie RS JR",,66,"Miles, Anthony RS FR",,,,,,,
LG,64,"Castillo, Delfin Xavier SR",,52,"Wesley, Kevo GR",,76,"Morgan, Grayson RS SO",,,,,,,
C,68,"Losoya, Steven GR/TR",,70,"McConnell, Cade RS SO/TR",,,,,,,,,,
RG,71,"Pitchford, Gage RS JR",,54,"Hubbard, Steven GR/TR",,69,"Starks, Cooper RS FR",,,,,,,
RT,50,"Mitchell, Chase GR/TR",,75,"Sandoval, Misael RS FR",,77,"Siegel, David RS SO",,,,,,,
TE,9,"Stowers, Eli RS JR/TR",,16,"Spence, Cole RS SO",,84,"Johnson, Kamrean SO",,45,"Adebi, Emmanuel GR/TR",,,,
QB,2,"Pavia, Diego SR/TR",,8,"Johnson, Nate RS SO/TR",,19,"Berlowitz, Blaze RS FR/TR",,7,"Dickey, Drew RS SO",,,,
RB,28,"Alexander, Sedrick SO",,23,"Newberry, AJ RS FR",,33,"Jones, Moni GR/TR",,13,"Gillespie, Chase RS SO",,,,
DEF,,,,,,,,,,,,,,,
DE,15,"Wood, Zaylin GR/TR",,95,"Zunk, Linus RS SO",,11,"Agu, Darren JR",,,,,,,
NT,5,"Ouattara, Yilanan JR",,98,"Thomas, De'Marion SO",,90,"Gregoire, Ted RS FR",,,,,,,
DT,99,"Lee, Devin SR",,91,"James, Christian GR",,94,"Mann, Bradley RS SO",,,,,,,
RAZOR,29,"Capers, Miles RS JR",,96,"Sydnor, Khordae RS JR/TR",,0,"DiCosmo, Aeneas GR/TR",,33,"Diakite, Boubacar JR",,,,
WLB,4,"Longwell, Bryan SO",,22,"Cowan, Bryce RS SO",,24,"Rinaldi, Nick RS SO",,,,,,,
MLB,10,"Patterson, Langston JR",,20,"Kollie, Prince RS JR/TR",,40,"Curtis, Jamison FR",,,,,,,
STAR,2,"Fontenette, Randon SO/TR",,12,"Ugochukwu, Jeffrey JR",,34,"Hampton, Maurice GR/TR",,39,"Lipford, Brail GR/TR",,,,
FCB,6,"Taylor, Kolbey RS JR/TR",,8,"Russell, Tyson SR",,17,"Davis, Mark GR/TR",,,,,,,
SS,1,"Taylor, CJ SR",,7,"Sewell, Marlen RS JR",,14,"Sannieniola, Steven RS SO",,,,,,,
FS,21,"Carter, Dontae FR",,19,"Wright, De'Rickey SR",,18,"Gilbert, Jalen RS FR",,,,,,,
BCB,25,"Hight, Martel SO",,30,"Berry, Trudell RS SO",,36,"Wright, Alan RS JR",,,,,,,
ST,,,,,,,,,,,,,,,
PT,29,"Mirco, Jesse GR/TR",,79,"Weasler, Conor RS FR",,,,,,,,,,
PK,88,"Taylor, Brock RS FR",,38,"Faris, Will RS JR",,43,"Conley, Will GR/TR",,40,"Rohmiller, Mason RS SO",,,,
KO,38,"Faris, Will RS JR",,88,"Taylor, Brock RS FR",,43,"Conley, Will GR/TR",,40,"Rohmiller, Mason RS SO",,,,
LS,48,"Ashby, Julian GR/TR",,51,"Gaw, Daniel RS JR",,,,,,,,,,
H,29,"Mirco, Jesse GR/TR",,79,"Weasler, Conor RS FR",,,,,,,,,,
PR,25,"Hight, Martel SO",,5,"Hoskins, Richie RS JR/TR",,23,"Newberry, AJ RS FR",,,,,,,
KR,0,"Sherrill, Junior SO",,80,"Brown, Tristen FR",,15,"Dillon, Jeremiah RS SO/TR",,,,,,,
