Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Virginia Tech Hokies,,,,,,,,,,,,,,,
WR-X,9,"Felton, Da'Quan GR/TR",,12,"Gosnell, Stephen GR/TR",,11,"Holloway, Tucker JR",,,,,,,
WR-Z,0,"Jennings, Ali GR/TR",,26,"Greene, Ayden SO",,,,,,,,,,
WR-Y,83,"Lane, Jaylin GR/TR",,5,"Turner-Bradshaw, Xayvion RS SO",,2,"Heath, Takye RS FR",,,,,,,
LT,65,"Chaplin, Xavier RS SO",,56,"Ghannam, Layth RS FR",,67,"Hammer, Hannes RS FR",,,,,,,
LG,61,"Moore, Braelin RS SO",,77,"Meadows, Brody RS SO",,64,"Williams, Lance RS FR",,,,,,,
C,68,"Moore, Kaden RS SR",,,,,,,,,,,,,
RG,66,"Cunningham, Montavious RS JR/TR",,75,"Schick, Bob RS SR/TR",,,,,,,,,,
RT,70,"Clements, Parker RS SR",,79,"Garrett, Johnny RS SO",,63,"Duggan, Griffin RS JR",,,,,,,
TE,86,"Gallo, Nick GR",,82,"Gosnell, Benji RS SO",,87,"Saint Germain, Harrison RS SO",,,,,,,
QB,1,"Drones, Kyron RS JR/TR",,18,"Watson III, William RS FR",,,,,,,,,,
RB,33,"Tuten, Bhayshul SR/TR",,24,"Thomas, Malachi RS JR",,21,"Coney, Jeremiah RS FR",,,,,,,
DEF,,,,,,,,,,,,,,,
LDE,52,"Powell-Ryland, Antwaun RS SR/TR",,56,"McCray, C.J. RS SR/TR",,39,"McDonald, Jorden RS JR",,,,,,,
LDT,16,"Peebles, Aeneas GR/TR",,13,"Copeland, Kemari JR/TR",,91,"Pene, Wilfried RS SR",,,,,,,
RDT,22,"Gilliam Jr., Kelvin RS JR/TR",,90,"Hanchuk, Andrew FR",,6,"Fuga, Josh GR",,,,,,,
RDE,17,"Nelson, Cole SR",,2,"Burgos, Keyshawn JR",,55,"Johnson, Gerard FR",,,,,,,
WLB,0,"Lawson, Keli RS JR",,38,"McDonald, Jayden RS JR",,42,"Stevens, Aycen RS FR",,,,,,,
MLB,3,"Brumfield, Sam RS SR/TR",,24,"Keller, Jaden RS JR",,53,"Johnson, Will RS JR",,,,,,,
STAR,7,"Jenkins, Keonta SR",,20,"Woodson, Caleb SO",,12,"Williams, Gabe FR",,,,,,,
LCB,4,"Delane, Mansoor JR",,1,"Lovett, Dante SO",,5,"Clarke, Joshua FR",,,,,,,
SS,26,"Stroman, Jalen SR",,15,"Jones, Jaylen SR",,27,"Childress, Tyler RS JR",,,,,,,
FS,18,"Phillips III, Mose SO",,21,"Reddish, Quentin FR",,9,"Fleming, Cameren RS FR",,,,,,,
RCB,44,"Strong, Dorian GR",,8,"Johnson, Braylon SO",,14,"Pennix, Jonathan RS FR",,,,,,,
ST,,,,,,,,,,,,,,,
PT,85,"Moore, Peter RS SR",,95,"Veltsistas, Nick RS JR",,,,,,,,,,
PK,17,"Love, John RS SO",,38,"Lowe, Kyle RS JR",,,,,,,,,,
KO,38,"Lowe, Kyle RS JR",,17,"Love, John RS SO",,,,,,,,,,
LS,94,"Kendall, Tate RS FR/TR",,96,"Epling, Christian RS SO",,47,"Armstrong, Griffin RS SR/TR",,,,,,,
H,85,"Moore, Peter RS SR",,95,"Veltsistas, Nick RS JR",,,,,,,,,,
PR,11,"Holloway, Tucker JR",,83,"Lane, Jaylin GR/TR",,,,,,,,,,
KR,33,"Tuten, Bhayshul SR/TR",,24,"Thomas, Malachi RS JR",,,,,,,,,,
