Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Wake Forest Demon Deacons,,,,,,,,,,,,,,,
WR-X,5,"Fields, Horatio RS JR",,4,"Merrill, Walker SR/TR",,84,"Ragano, Nick RS JR",,,,,,,
WR-Z,11,"Greene, Donavon RS SR",,18,"Mays Jr., Micah RS FR",,87,"Girard, Jaydn RS SO",,,,,,,
WR-SL,2,"Morin, Taylor RS SR",,81,"Alexander, Deuce RS FR",,,,,,,,,,
LT,62,"Gordon, DeVonte RS SR",,71,"Trost, Keagan RS SR/TR",,,,,,,,,,
LG,54,"Gulbin, Matt RS JR",,75,"Johnson II, Derrell RS SO",,,,,,,,,,
C,74,"Petitbon, Luke RS JR",,65,"Lucas, Hank RS SO",,,,,,,,,,
RG,70,"Sharpe, Nick RS JR",,77,"Sell, George RS JR",,,,,,,,,,
RT,72,"Russell, Erik RS JR",,73,"Vaughan, Zach RS JR",,76,"Collins, Jaydon RS JR",,,,,,,
TE,20,"Hite, Cameron RS SR",,17,"Frogge, Michael RS JR",,44,"Dupont, Ryan RS JR",,,,,,,
QB,9,"Bachmeier, Hank RS SR/TR",,15,"Kern, Michael RS SR",,10,"Gilliam, Charlie RS FR",,,,,,,
RB,1,"Claiborne, Demond JR",,30,"Carney, Tate RS SO",,28,"Egbe, David SO",,,,,,,
DEF,,,,,,,,,,,,,,,
LDE,30,"Davis, Jasheen SR",,99,"Ibirogba, Mateen JR/TR",,46,"Lee, Kerrington RS FR",,,,,,,
LDT,91,"Pointer, Kevin RS SR/TR",,98,"Crespi, Wyatt RS JR",,95,"Marable Jr., Chris RS FR",,,,,,,
RDT,55,"Ganious, Bryce SR/TR",,94,"Lohavichan, Zach RS JR",,,,,,,,,,
RDE,5,"Wayman, Kendron SR",,18,"Williams, BJ RS JR",,,,,,,,,,
BUCK,21,"Combs, Branson RS SR/TR",,39,"Hall, Aiden SO",,,,,,,,,,
MLB,24,"Hazen, Dylan RS JR",,9,"Bryant, Quincy RS JR",,,,,,,,,,
LCB,25,"Glasker, Jamare RS SO",,0,"Rankin, Demarcus SR/TR",,,,,,,,,,
SS,13,"Patterson, Davaughn RS FR",,6,"Tongue, Rushaun RS FR",,,,,,,,,,
FS,45,"Andersen, Nick RS JR",,35,"Turpin, Myles FR",,,,,,,,,,
RCB,3,"Blue, Capone RS SR/TR",,27,"West, Travon RS FR",,,,,,,,,,
NB,7,"Slocum, Evan SR",,23,"Robinson Jr., Antonio RS FR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,36,"Mora, Ivan RS SR",,98,"Black, Tyler SO",,,,,,,,,,
PK,99,"Dennis, Matthew RS JR",,97,"Carlson, Caleb RS SO",,83,"Morgan, Ben RS SO",,,,,,,
KO,98,"Black, Tyler SO",,97,"Carlson, Caleb RS SO",,83,"Morgan, Ben RS SO",,,,,,,
LS,32,"Cobb, Will RS JR",,,,,,,,,,,,,
H,36,"Mora, Ivan RS SR",,98,"Black, Tyler SO",,,,,,,,,,
PR,2,"Morin, Taylor RS SR",,,,,,,,,,,,,
KR,1,"Claiborne, Demond JR",,,,,,,,,,,,,
