Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
West Virginia Mountaineers,,,,,,,,,,,,,,,
WR-X,84,"Clement, Hudson RS SO",,2,"Robinson, Justin RS SR/TR",,,,,,,,,,
WR-Z,29,"Fox, Preston RS JR",,7,"Ray, Traylon SO",,,,,,,,,,
WR-H,5,"Bray, Jaden RS JR/TR",,24,"Gallagher III, Rodney SO",,11,"Farmer, Ric'Darious FR",,,,,,,
LT,74,"Milum, Wyatt SR",,60,"Williams IV, Johnny RS FR",,,,,,,,,,
LG,55,"Rimac, Tomas RS JR",,56,"Weidman, Sullivan RS SO",,,,,,,,,,
C,50,"Yates, Brandon RS SR",,67,"Livingston, Landen RS SO",,,,,,,,,,
RG,66,"Hubbard, Ja'Quay RS SR/TR",,52,"Krahe, Nick RS FR",,,,,,,,,,
RT,58,"Malone, Nick RS SR",,78,"Bausley, Xavier RS SO/TR",,,,,,,,,,
TE-Y,87,"Taylor, Kole SR/TR",,81,"Davis, Treylan RS JR",,,,,,,,,,
QB,6,"Greene, Garrett SR",,8,"Marchiol, Nicco RS SO",,,,,,,,,,
RB,22,"White, Jahiem SO",,4,"Donaldson Jr., CJ JR",,,,,,,,,,
DEF,,,,,,,,,,,,,,,
DE,5,"Martin, Sean SR",,11,"Jackson, T.J. SR/TR",,45,"Simmons, Taurus SR",,,,,,,
NT,54,"Mulbah, Fatorma RS SR/TR",,99,"Russell IV, Hammond RS JR",,69,"Gabriel, Nate FR",,,,,,,
DT,96,"Vesterinen, Edward SR",,92,"Redwood, Asani RS SO",,,,,,,,,,
SPUR,8,"Bradley Jr., Tyrin SR/TR",,47,"French, Ty SR/TR",,,,,,,,,,
WLB,40,"Trotter, Josiah RS FR",,15,"Cutter, Ben SO",,,,,,,,,,
MLB,4,"Lathan, Trey RS SO",,36,"Biser, Caden RS JR",,35,"Carrico, Reid RS JR/TR",,,,,,,
SPEAR,2,"Burks, Aubrey SR",,17,"Jennings, Zae FR",,,,,,,,,,
LCB,0,"Garnes, Ayden RS JR/TR",,23,"Crandall, TJ SO/TR",,25,"Jackson, Jordan RS FR",,,,,,,
CS,22,"Jackson, Josiah RS FR",,14,"Tarnue, Kekoura SR/TR",,18,"Boyce, Israel FR",,,,,,,
FS,12,"Wilson Jr., Anthony RS SR/TR",,3,"Joseph, Jaheem RS JR/TR",,,,,,,,,,
RCB,1,"Hollis Jr., Garnett RS SR/TR",,6,"Spells, Jacolby JR",,13,"Fagan, Dontez RS SR/TR",,,,,,,
ST,,,,,,,,,,,,,,,
PT,41,"Straw, Oliver JR",,98,"Bechdel, Leighton RS SR",,,,,,,,,,
PK,22,"Hayes II, Michael RS SR/TR",,42,"Kocan, RJ RS SO",,,,,,,,,,
KO,22,"Hayes II, Michael RS SR/TR",,,,,,,,,,,,,
LS,43,"Brinkman, Austin SR",,38,"Moss, Macguire RS SO",,,,,,,,,,
H,98,"Bechdel, Leighton RS SR",,41,"Straw, Oliver JR",,,,,,,,,,
PR,29,"Fox, Preston RS JR",,24,"Gallagher III, Rodney SO",,,,,,,,,,
KR,84,"Clement, Hudson RS SO",,29,"Fox, Preston RS JR",,,,,,,,,,
