Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Wisconsin Badgers,,,,,,,,,,,,,,,
WR-X,9,"Green, Bryson SR/TR",,5,"Burroughs, Quincy RS SO/TR",,84,"Brooks Jr., Chris RS SO",,,,,,,
WR-Z,4,"Williams, C.J. JR/TR",,8,"Anthony II, Vinny JR",,14,"Henry, Tyrell JR/TR",,,,,,,
WR-SL,6,"Pauling, Will RS JR/TR",,12,"Kekahuna, Trech RS FR",,22,"Berry-Johnson, Kyan FR",,,,,,,
LT,79,"Nelson, Jack RS SR",,55,"Heywood, Kevin FR",,74,"Jensen, Derek FR",,,,,,,
LG,56,"Brunner, Joe RS SO",,65,"Durand, James RS FR",,75,"Mandell, Emerson FR",,,,,,,
C,57,"Renfro, Jake RS SR/TR",,73,"Kodanko, Kerry RS SR",,50,"Cory, Ryan FR",,,,,,,
RG,60,"Huber, Joe RS SR/TR",,67,"Benzschawel, JP RS JR",,78,"Cubberly, Colin FR",,,,,,,
RT,71,"Mahlman, Riley RS JR",,70,"Nelson, Barrett RS SO",,66,"Nelson, Leyton RS SO/TR",,,,,,,
TE,38,"Ashcraft, Tucker SO",,37,"Nowakowski, Riley RS SR",,87,"McGohan, Jackson SO/TR",,41,"Seagreaves, JT RS SO",,85,"Stec, Grant FR",
QB,10,"Van Dyke, Tyler RS SR/TR",,18,"Locke, Braedyn RS SO/TR",,11,"Mettauer, Mabrey FR",,17,"LaCrue, Cole RS FR",,,,
RB,1,"Mellusi, Chez GR/TR",,3,"Walker, Tawee SR/TR",,13,"Dupree, Darrion FR",,34,"Acker, Jackson RS JR",,25,"Yacamelli, Cade RS SO",
DEF,,,,,,,,,,,,,,,
DE,90,"Thompson Jr., James RS SR",,94,"Hills, Elijah SR/TR",,93,"Willor Jr., Ernest FR",,60,"Weber, Hank FR",,,,
NT,92,"Neal, Curt RS SO",,96,"McDonald, Cade RS SR",,91,"Howard, Jamel RS FR",,,,,,,
DT,95,"Lane, Brandon RS JR/TR",,68,"Barten, Ben RS SR",,76,"Johnson, Dillan FR",,,,,,,
LOLB,17,"Peterson, Darryl RS JR",,8,"Lowery Jr., Leon RS SR/TR",,19,"Heiberger, Thomas FR",,,,,,,
LILB,1,"Chaney, Jake SR",,28,"Alliegro, Christian SO",,15,"Cheeks, Sebastian RS SO/TR",,23,"Gauthier, Landon FR",,,,
RILB,7,"Thomas, Jaheim RS SR/TR",,4,"Curtis, Tackett SO/TR",,42,"Jansey, Tyler RS FR",,,,,,,
ROLB,0,"Pius, John RS SR/TR",,59,"Witt, Aaron RS JR",,51,"Lafaele, Anelu FR",,,,,,,
LCB,2,"Hallman, Ricardo RS JR",,21,"Duclona, Jonas SO",,22,"Arnold, Jace RS FR",,11,"Agard, Omillio FR",,,,
SS,24,"Wohler, Hunter SR",,20,"Moore, Braedyn RS FR",,25,"Taylor, Justin RS FR",,,,,,,
FS,13,"Latu, Kamo'i GR/TR",,14,"Zachman, Preston RS SR",,27,"Dunn, Raphael FR",,,,,,,
RCB,10,"Fourqurean, Nyzier RS SR/TR",,5,"Delancy III, RJ RS SR/TR",,6,"Lucas, Xavier FR",,16,"Snowden, Amare RS FR",,26,"Harper, Jay FR",
NB,12,"Lofy, Max RS SR",,9,"Brown, Austin JR",,18,"Arnett, Owen RS JR",,,,,,,
ST,,,,,,,,,,,,,,,
PT,49,"Bertrams, Atticus SO/TR",,28,"Meyers, Gavin RS SR",,,,,,,,,,
PK,90,"Vakos, Nathanial JR/TR",,97,"Lahm, Gavin JR",,29,"Van Zelst, Nate RS JR",,,,,,,
KO,97,"Lahm, Gavin JR",,90,"Vakos, Nathanial JR/TR",,,,,,,,,,
LS,99,"Pfeiffer, Cayson RS SR/TR",,64,"McKinley, Duncan RS SR",,,,,,,,,,
H,28,"Meyers, Gavin RS SR",,49,"Bertrams, Atticus SO/TR",,,,,,,,,,
PR,8,"Anthony II, Vinny JR",,12,"Kekahuna, Trech RS FR",,14,"Henry, Tyrell JR/TR",,22,"Berry-Johnson, Kyan FR",,,,
KR,14,"Henry, Tyrell JR/TR",,8,"Anthony II, Vinny JR",,6,"Pauling, Will RS JR/TR",,12,"Kekahuna, Trech RS FR",,,,
