Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No,Player 3,twitter_3,No,Player 4,twitter_4,No,Player 5,twitter_5
Wyoming Cowboys,,,,,,,,,,,,,,,
WR-X,83,"Pelissier, Will GR",,14,"Stevenson, Justin RS FR",,88,"Bean, Jaylan SO/TR",,82,"Brantley, Bricen RS FR",,,,
WR-Z,9,"Brown, Alex RS SR",,8,"Sargent, Jaylen RS JR",,14,"LaFramboise, Kayden RS FR",,,,,,,
WR-SL,2,"Boddie Jr., Devin RS SR/TR",,15,"Durr Jr., Chris FR",,5,"King, Tyler RS SO/TR",,19,"Cooley, Caleb SR/TR",,,,
LT,72,"Barnett, Caden RS JR",,75,"Conn, Alex RS JR/TR",,76,"Grovesteen-Matchey, Quinn RS FR",,,,,,,
LG,78,"King, Wes RS SO",,57,"Sandy, Luke RS SO",,70,"Johnsen, Rex RS SO",,,,,,,
OC,77,"Tulafono, Nofoafia RS SR",,53,"Gavito, Dante RS SO/TR",,,,,,,,,,
RG,79,"Walsh, Jack RS JR",,61,"Uphold, JJ RS JR",,,,,,,,,,
RT,71,"Davies, Jake RS FR",,65,"Geiger, Nathan RS FR",,,,,,,,,,
TE-Y,84,"Gyllenborg, John Michael RS JR",,86,"Miles, Nick RS SR",,87,"Schoenfeld, Isaac RS SO",,85,"Nanke, Clay RS JR/TR",,80,"Erb, Justin RS SO/TR",
QB,17,"Svoboda, Evan RS JR/TR",,7,"Clemons, Jayden RS SR/TR",,12,"Anderson, Kaden RS FR",,13,"Brook, Gage RS FR",,18,"Batiste, Deyon FR",
RB,4,"Waylee, Harrison SR/TR",,6,"Ferrell, Jamari SR/TR",,22,"Scott, Sam RS JR",,16,"Jones, DJ GR/TR",,3,"McNeely, Dawaiian RS SR",
FB,36,"Driskill, Caleb RS SR",,35,"Madsen, Kimball RS JR",,40,"Mailand, Cooper RS FR",,,,,,,
DEF,,,,,,,,,,,,,,,
LDE,54,"Harsh, Sabastian RS JR",,40,"Westland, Tyce RS JR",,59,"Day, Ethan RS SO/TR",,88,"Wade, Tell RS FR",,,,
NT,94,"Florentine, Ben RS JR",,98,"Williams, Jayden RS FR",,97,"Samsula, Lucas RS FR",,,,,,,
DT,96,"Bertagnole, Jordan GR",,91,"Williams, Jaden RS SO",,92,"Drake, Dante SO",,68,"Crawford, Cody RS FR",,,,
RDE,93,"Harris, DeVonne GR",,34,"Siders, Braden RS JR",,55,"Sjogren, Kevin RS SO",,58,"Turnbull, Jordan RS FR",,,,
WLB,33,"Shay, Connor RS SR",,25,"DeMarzo, Cole RS JR/TR",,44,"Young, Micah RS JR",,28,"Onyiego, Adrian FR",,,,
MLB,43,"Suiaunoa, Shae GR",,22,"Eller, Evan GR/TR",,45,"Sunn, Read RS JR",,49,"Talich, Nic RS JR",,,,
LCB,12,"Davis, Tyrecus SR/TR",,14,"Hill, Naz RS FR",,29,"Sell, Isaac RS JR",,7,"Grant, Markie FR",,11,"Williams, Charles FR",
SS,42,"White, Isaac RS SR",,21,"McIntyre, Koa RS SO",,23,"Thomas, Jones RS FR",,,,,,,
FS,31,"Ekeler, Wyett RS SR",,3,"Johnson, Andrew RS JR",,30,"Tucker, Miles RS FR",,,,,,,
RCB,13,"Bell, Ian SO",,4,"Parks, Keany SO",,23,"Merritt, Caleb RS SO",,8,"Boss, Tyrese FR",,,,
NB,2,"Brown, Wrook RS JR",,19,"Singleton, Malique RS SO",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,0,"Culbreath, Jack SR/TR",,,,,,,,,,,,,
PK,46,"Hoyland, John SR",,47,"Sandvik, Erik RS FR",,99,"Anderson, Keelan FR",,,,,,,
KO,46,"Hoyland, John SR",,47,"Sandvik, Erik RS FR",,99,"Anderson, Keelan FR",,,,,,,
LS,52,"York, Carson JR",,45,"Sunn, Read RS JR",,,,,,,,,,
H,19,"Cooley, Caleb SR/TR",,,,,,,,,,,,,
PR,19,"Cooley, Caleb SR/TR",,,,,,,,,,,,,
KR,2,"Boddie Jr., Devin RS SR/TR",,5,"King, Tyler RS SO/TR",,16,"Jones, DJ GR/TR",,,,,,,
Reserves,,,,,,,,,,,,,,,
RES,,,,,,,,,,,,,,,
INJ,95,"Robinson, Caleb RS SR",,,,,,,,,,,,,
