Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No.1,Player 3,twitter_3,No.2,Player 4,twitter_4,No.3,Player 5,twitter_5
Troy Trojans,,,,,,,,,,,,,,,
WR-X,8.0,"Beason, Zeriah JR/TR",,1.0,"Parker, Landon RS SR/TR",,81.0,"Bruce, Robert RS JR/TR",,,,,,,
WR-Z,7.0,"Ross, Devonte JR",,82.0,"Thomas, Jackson RS FR",,84.0,"Chappelle, Caleb RS JR/TR",,,,,,,
WR-F,2.0,"Higgins, Peyton RS JR",,5.0,"Dortch, Mojo RS SO/TR",,83.0,"Epps, DJ RS SO",,,,,,,
LT,58.0,"Prather, Elijah RS FR",,77.0,"Bowden, Zak JR/TR",,,,,,,,,,
LG,75.0,"Hudson, Zerian JR/TR",,56.0,"Slayden, Carlos JR/TR",,,,,,,,,,
C,66.0,"Russ, Eli RS JR/TR",,50.0,"Stanley, Boaz RS SO/TR",,,,,,,,,,
RG,74.0,"King, Daniel SR/TR",,55.0,"Matthews, Tavon RS SR/TR",,,,,,,,,,
RT,71.0,"Gibson, Kyler RS SO",,70.0,"Fua'au, Casey JR/TR",,67.0,"Henry, Matt JR/TR",,,,,,,
TE,14.0,"Conner, Ethan SR/TR",,88.0,"Dalton, Brody RS JR/TR",,85.0,"Rogosch, Fabian RS SO",,86.0,"Worley, Jackson RS FR",,89.0,"Swartz, Trae JR/TR",
QB,9.0,"Crowder, Goose RS JR/TR",,10.0,"Kilcrease, Tucker RS SO",,12.0,"Caldwell, Matthew RS JR/TR",,11.0,"McCreary, Caleb FR",,16.0,"Wells, Montana RS FR/TR",
RB,3.0,"Taylor, Damien RS JR",,0.0,"Green, Gerald RS SR/TR",,4.0,"Williams, Jarris RS JR",,15.0,"Lovett, Jordan RS FR",,21.0,"Pearson, Trevor RS FR/TR",
DEF,,,,,,,,,,,,,,,
DE,0.0,"Cutts, Raymond RS SR/TR",,53.0,"McNeill, Jabril RS JR/TR",,16.0,"Griffin, Trashun FR",,52.0,"Johnson, ShuMond FR",,90.0,"Perry, Ty'Quarius RS FR",
NT,99.0,"Peterson, Julian RS JR",,98.0,"Fils-Aime, Jamel JR/TR",,96.0,"Mann, Dylan FR",,91.0,"Norwood, Kevin FR",,53.0,"Underwood, Cam'Ron FR",
DT,95.0,"Medina, Luis RS JR",,93.0,"Curry, Kam JR/TR",,45.0,"Kaba, Cheick JR/TR",,69.0,"Paramore, Jermaine FR",,97.0,"Reedy, Kenny RS SO/TR",
BAN,1.0,"Lee, Phillip RS JR",,5.0,"Williams, Jah-Mal RS JR/TR",,8.0,"Shaw, Eric RS JR/TR",,35.0,"Pegues, Malaki RS FR",,,,
WLB,7.0,"Stringer, Jordan RS JR",,4.0,"Jackson, Brendan SR/TR",,13.0,"Thompson, TJ JR/TR",,43.0,"Weaver, Kam FR",,,,
MLB,6.0,"Thomas, Terry RS JR",,2.0,"Cattledge, Steven RS JR/TR",,44.0,"Hodge, Luke RS SO",,20.0,"Campbell, Keyshawn RS FR",,,,
SPEAR,3.0,"Lafayette, Devin RS JR/TR",,18.0,"Perry, Jordan RS SO/TR",,11.0,"Starling, Darrell RS JR",,28.0,"Williams, AZ RS JR",,,,
LCB,9.0,"Yancey, Damaje SR/TR",,12.0,"Henry, Trent JR/TR",,36.0,"Hall, EJ FR",,40.0,"Thomas, JaQueraius JR/TR",,,,
SS,14.0,"Powell, Cecil RS SR/TR",,25.0,"Powe, Justin RS SO",,23.0,"Bradford, KC SO",,,,,,,
FS,39.0,"Conerly-Goodly, Ian JR/TR",,37.0,"Nelson, Daivon JR/TR",,24.0,"Carter, Rondell FR",,27.0,"Butler, John RS JR",,,,
RCB,21.0,"Green, LJ RS FR",,15.0,"James, Semaj JR/TR",,10.0,"Strait, Jabari JR/TR",,,,,,,
ST,,,,,,,,,,,,,,,
PT,48.0,"Cole, Robert SR/TR",,28.0,"Crenshaw, Evan JR/TR",,,,,,,,,,
PK,40.0,"Renfroe, Scott Taylor RS JR",,30.0,"Troemel, Nick RS FR",,33.0,"Theus, Gage RS JR/TR",,35.0,"Zuluaga, Max FR",,,,
KO,40.0,"Renfroe, Scott Taylor RS JR",,30.0,"Troemel, Nick RS FR",,33.0,"Theus, Gage RS JR/TR",,35.0,"Zuluaga, Max FR",,,,
LS,87.0,"Walls, Colton RS FR",,41.0,"Spain, Will RS JR/TR",,,,,,,,,,
H,48.0,"Cole, Robert SR/TR",,28.0,"Crenshaw, Evan JR/TR",,,,,,,,,,
PR,7.0,"Ross, Devonte JR",,2.0,"Higgins, Peyton RS JR",,5.0,"Dortch, Mojo RS SO/TR",,15.0,"Lovett, Jordan RS FR",,,,
KR,7.0,"Ross, Devonte JR",,2.0,"Higgins, Peyton RS JR",,5.0,"Dortch, Mojo RS SO/TR",,15.0,"Lovett, Jordan RS FR",,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Army Black Knights,,,,,,,,,,,,,,,
WR-X,87.0,"Reynolds, Casey SR",,84.0,"Schurr, Cam SR",,,,,,,,,,
WR-Z,80.0,"Fortner, Liam JR",,4.0,"Olawole, Tobi SO",,,,,,,,,,
WR-SL,15.0,"Short, Noah JR",,23.0,"Benson III, Lloyd SO",,,,,,,,,,
LT,77.0,"Law, Jordyn SR",,73.0,"Brady, Ned JR",,,,,,,,,,
LG,65.0,"Scott, Lucas SR",,53.0,"Katsigiannis, Bill SR",,,,,,,,,,
OC,51.0,"Small, Brady SO",,,,,,,,,,,,,
RG,59.0,"Jeffcoat, Will SR",,54.0,"Bivins, Tanner JR",,50.0,"Bartosh, Braden JR",,,,,,,
RT,70.0,"Hoyt, David SR",,69.0,"Adoghe, Matthew SR",,,,,,,,,,
TE,85.0,"Crossan, David SR",,86.0,"Montesi, Will SR",,46.0,"Reece, Seth SO",,45.0,"Thompson, Toby SO",,,,
QB,13.0,"Daily, Bryson SR",,1.0,"Mundell, Zach JR",,10.0,"Coleman, Dewayne JR",,14.0,"Bolden, Mitch SO",,3.0,"Hellums, Cale SO",
RB-A,6.0,"Udoh, Kanye SO",,8.0,"Reed, Hayden JR",,33.0,"Rendina, Jake SO",,42.0,"Williams, AJ SR",,,,
RB-B,21.0,"Robinson, Tyrell SR",,22.0,"Stewart, Miles SR",,5.0,"Dickson, Jarel SR",,,,,,,
DEF,,,,,,,,,,,,,,,
DE,91.0,"Sofia, Trey SR",,58.0,"Rafferty, Tyler SR",,98.0,"Gray, Deshontez JR",,99.0,"Bousum, Jack SO",,,,
NT,95.0,"Lewis, Kyle SR",,93.0,"Winokur, Cody SR",,,,,,,,,,
DT,92.0,"Latore, Jack JR",,97.0,"Miller, Dre SR",,,,,,,,,,
OLB,40.0,"Ford, Eric JR",,18.0,"Modozie, Elo SO",,,,,,,,,,
MLB,53.0,"Fortner, Kalib JR",,,,,,,,,,,,,
WLB,36.0,"Gerena, Brett SR",,51.0,"Thomas, Andon JR",,,,,,,,,,
LCB,16.0,"Washington, Damon SR",,,,,,,,,,,,,
SS,6.0,"DiDomenico, Max SR",,11.0,"Zitiello, Tommy SR",,,,,,,,,,
FS,9.0,"Bibbins, Aaron SR",,14.0,"Shields, Gavin JR",,,,,,,,,,
RCB,28.0,"Platt, Donavon JR",,,,,,,,,,,,,
NB,2.0,"Keith, Chance SR",,20.0,"Larkin, Casey JR",,43.0,"Baker, Hamilton SR",,25.0,"Banks, Josiah SR",,39.0,"Birl, Isaiah SO",
ST,,,,,,,,,,,,,,,
PT,38.0,"Allan, Cooper JR",,99.0,"Rhodes, Matthew SR",,83.0,"Gibbons, Matthew JR",,13.0,"Wagenseller, James SO",,,,
PK,1.0,"Britton, Anderson JR",,96.0,"Gronotte, Trey SR",,7.0,"Barnett, Charlie JR",,,,,,,
KO,7.0,"Barnett, Charlie JR",,1.0,"Britton, Anderson JR",,96.0,"Gronotte, Trey SR",,,,,,,
LS,66.0,"Prieto, Drew SO",,55.0,"Walter, Owen SO",,,,,,,,,,
H,38.0,"Allan, Cooper JR",,99.0,"Rhodes, Matthew SR",,83.0,"Gibbons, Matthew JR",,13.0,"Wagenseller, James SO",,,,
PR,21.0,"Robinson, Tyrell SR",,8.0,"Weaver, Justin JR",,,,,,,,,,
KR,21.0,"Robinson, Tyrell SR",,15.0,"Short, Noah JR",,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Charlotte 49ers,,,,,,,,,,,,,,,
WR-X,4.0,"Olson, Justin GR/TR",,2.0,"Myers, Isaiah RS SO/TR",,83.0,"Brown, Sean RS SR/TR",,,,,,,
WR-Z,0.0,"Blake, O'Mega RS JR/TR",,3.0,"Mack, Jairus RS JR",,0.0,"Traynor, Terez RS SR/TR",,,,,,,
WR-SL,10.0,"Thomas Jr., Duane SO",,22.0,"Reynolds, Jack RS JR",,37.0,"Brown, Jayvon RS FR/TR",,,,,,,
LT,0.0,"Hassard, Jonny JR/TR",,79.0,"Herman, Jordan RS SO/TR",,,,,,,,,,
LG,66.0,"Moko, Jordan RS JR/TR",,56.0,"Adair, Andrew RS JR/TR",,,,,,,,,,
C,52.0,"King, Jonny RS SR",,76.0,"Bullerdick, Isaiah RS SO",,,,,,,,,,
RG,77.0,"Mayes, Mitchell SR/TR",,55.0,"Clipper Jr., Mo RS SO/TR",,65.0,"Brinkley, Boston RS SO",,,,,,,
RT,74.0,"Gibson, Tyler RS SO/TR",,53.0,"Stanley, Kendall RS SO",,,,,,,,,,
TE,81.0,"Clemons, Jake RS SR",,18.0,"Weber, Colin RS JR",,86.0,"Kennon, Bryce RS SR",,35.0,"Bearns III, Joey RS JR/TR",,,,
QB,1.0,"Brown, Max RS SO/TR",,11.0,"Ivey, Trexler RS SR",,15.0,"Purdie, DeShawn FR",,,,,,,
RB,8.0,"Norton, Cartevious JR/TR",,0.0,"Kellman, Terron RS SO/TR",,23.0,"Stokes, CJ RS SO/TR",,38.0,"Wilson, Hahsaun RS JR",,21.0,"Rutledge, Henry RS JR",
DEF,,,,,,,,,,,,,,,
LDE,3.0,"Clowney, Demon RS SR/TR",,18.0,"Shockley, Zion RS SO/TR",,17.0,"Kelly, Mike RS SR",,15.0,"Dippre, Lacota RS FR",,,,
NT,94.0,"Wallace, Jonathan JR/TR",,99.0,"Martin, Dre RS SO/TR",,98.0,"Lambert, Jefferson SO/TR",,88.0,"Evans, Katron RS JR/TR",,,,
DT,91.0,"Butler, Dre GR/TR",,90.0,"Morgan, Dez RS SR",,55.0,"Coates, Colin SO",,97.0,"Holley, Jalar RS SR/TR",,,,
RDE,0.0,"Sings V, Stephen RS SR/TR",,0.0,"Williams, Chantz RS SR/TR",,48.0,"Puryear, Malik RS JR/TR",,,,,,,
WLB,0.0,"Morris, Avery SR/TR",,10.0,"Ekwonu, Ositadinma RS SR/TR",,8.0,"Burden, Cam RS JR",,,,,,,
MLB,25.0,"Bemah, Prince RS SR",,19.0,"Spellman, Donovan JR/TR",,26.0,"Simmons, Xavier RS SO/TR",,,,,,,
SLB,11.0,"Handy, Stone RS SR/TR",,39.0,"Kaler, Aidan RS SR/TR",,40.0,"Williford, Reid RS SO",,,,,,,
LCB,4.0,"Burton, C.J. SR/TR",,7.0,"Romphf, Anthony RS JR/TR",,45.0,"Mack, Jaavan JR/TR",,,,,,,
SS,6.0,"Ali, Al-Ma'hi RS JR/TR",,16.0,"Culp, Elijah RS JR/TR",,13.0,"Bushra, Eltayeb SR/TR",,,,,,,
FS,2.0,"McGee, Treyveon RS SR/TR",,29.0,"Neal, Maguire JR",,9.0,"Grant, Cary JR/TR",,,,,,,
RCB,1.0,"Balfour, Dontae RS JR/TR",,0.0,"Booker, Trevon RS SR/TR",,30.0,"Edwards, Derrick RS JR/TR",,,,,,,
NB,12.0,"Clinkscales, CJ RS SO/TR",,0.0,"Anderson Jr., Sammy RS SR/TR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
